Town,Year,Call Reason,Action,Count
Leverett,2018,BREAKING & ENTERING AUTO,Faxed to Station,1
Leverett,2018,BREAKING AND ENTERING,Investigated,1
Leverett,2018,BREAKING AND ENTERING PAST,Investigated,1
Leverett,2018,BREAKING AND ENTERING PAST,Report Taken,2
Leverett,2018,BE ON THE LOOK OUT,Services Rendered,1
Leverett,2018,BUILDING/LOCATION CHECK,Unknown,2
Leverett,2018,BUILDING/LOCATION CHECK,Building Checked/Secured,64
Leverett,2018,BUILDING/LOCATION CHECK,Checks Okay,16
Leverett,2018,BUILDING/LOCATION CHECK,Faxed to Station,5
Leverett,2018,BUILDING/LOCATION CHECK,Investigated,3
Leverett,2018,BUILDING/LOCATION CHECK,No Action Required,15
Leverett,2018,BUILDING/LOCATION CHECK,Services Rendered,36
Leverett,2018,CHIMNEY FIRE,Extinguished,1
Leverett,2018,CHIMNEY FIRE,Investigated,1
Leverett,2018,CHIMNEY FIRE,Services Rendered,2
Leverett,2018,CHECK WELFARE,Call Cancelled,1
Leverett,2018,CHECK WELFARE,COOLEY DICKINSON HOSPITAL,2
Leverett,2018,CHECK WELFARE,Dispatch Handled,2
Leverett,2018,CHECK WELFARE,Investigated,5
Leverett,2018,CHECK WELFARE,Negative Contact,1
Leverett,2018,CHECK WELFARE,Report Taken,1
Leverett,2018,CHECK WELFARE,Services Rendered,2
Leverett,2018,Civil Issue,No Action Required,1
Leverett,2018,CRUISER MAINTENANCE,Checks Okay,2
Leverett,2018,CRUISER MAINTENANCE,No Action Required,4
Leverett,2018,CRUISER MAINTENANCE,Services Rendered,9
Leverett,2018,CARBON MONOXIDE HAZARD,Investigated,3
Leverett,2018,CARBON MONOXIDE HAZARD,Services Rendered,2
Leverett,2018,COMMUNITY POLICING,Checks Okay,1
Leverett,2018,COMMUNITY POLICING,No Action Required,9
Leverett,2018,COMMUNITY POLICING,Services Rendered,8
Leverett,2018,COMPLAINT,NOBODY HOME,1
Leverett,2018,COMPLAINT,Report Taken,1
Leverett,2018,COMPLAINT,Services Rendered,1
Leverett,2018,COURT,No Action Required,1
Leverett,2018,COURT,Services Rendered,1
Leverett,2018,Car vs. Deer,Faxed to Station,1
Leverett,2018,Car vs. Deer,Investigated,1
Leverett,2018,Car vs. Deer,Report Taken,1
Leverett,2018,Car vs. Deer,TRANSFERRED TO STATE POLICE,2
Leverett,2018,DISTURBANCE,Arrest(s) Made,1
Leverett,2018,DISTURBANCE,Services Rendered,1
Leverett,2018,DISABLED MV,Call Given to an Officer,2
Leverett,2018,DISABLED MV,Dispatch Handled,1
Leverett,2018,DISABLED MV,Investigated,7
Leverett,2018,DISABLED MV,No Action Required,1
Leverett,2018,DISABLED MV,Negative Contact,1
Leverett,2018,DISABLED MV,Taken/Referred to Other Agency,2
Leverett,2018,DISABLED MV,Services Rendered,9
Leverett,2018,DISABLED MV,Unfounded,1
Leverett,2018,DISABLED MV,Vehicle Towed,5
Leverett,2018,Drill/Testing,Services Rendered,4
Leverett,2018,ESCORT/TRANSPORT,Services Rendered,1
Leverett,2018,FIREARMS LICENSING,No Action Required,4
Leverett,2018,FIREARMS LICENSING,Services Rendered,3
Leverett,2018,"FIRE, BRUSH FIRE",Extinguished,1
Leverett,2018,"FIRE, OTHER NON-SPECIFIC",Investigated,2
Leverett,2018,"FIRE, OTHER NON-SPECIFIC",Services Rendered,2
Leverett,2018,"FIRE, VEHICLE FIRE",Vehicle Towed,1
Leverett,2018,"FIRE, FIRE WORKS",Call Given to an Officer,1
Leverett,2018,FOLLOW UP INVESTIGATION,Investigated,6
Leverett,2018,FOLLOW UP INVESTIGATION,No Action Required,1
Leverett,2018,FOLLOW UP INVESTIGATION,Report Taken,2
Leverett,2018,FOLLOW UP INVESTIGATION,Services Rendered,2
Leverett,2018,FOLLOW UP INVESTIGATION,TRANSFERRED TO STATE POLICE,1
Leverett,2018,FRAUD/SCAM,Call Given to an Officer,1
Leverett,2018,FRAUD/SCAM,Faxed to Station,1
Leverett,2018,FRAUD/SCAM,Investigated,1
Leverett,2018,FRAUD/SCAM,Report Taken,1
Leverett,2018,GAS LEAK,Investigated,1
Leverett,2018,GENERAL INFO,Faxed to Station,2
Leverett,2018,GENERAL INFO,TRANSFERRED TO STATE POLICE,1
Leverett,2018,HARASSMENT,Investigated,1
Leverett,2018,ILLEGAL BURN,Extinguished,2
Leverett,2018,ILLEGAL BURN,No Action Required,1
Leverett,2018,INVESTIGATION,Faxed to Station,1
Leverett,2018,INVESTIGATION,Investigated,8
Leverett,2018,INVESTIGATION,No Action Required,3
Leverett,2018,INVESTIGATION,Negative Contact,1
Leverett,2018,INVESTIGATION,NOBODY HOME,2
Leverett,2018,INVESTIGATION,Report Taken,2
Leverett,2018,LARCENY,Investigated,1
Leverett,2018,LARCENY,Report Taken,1
Leverett,2018,"LINE DOWN, POWER, PHONE OR CABL",Removed Hazard,1
Leverett,2018,"LINE DOWN, POWER, PHONE OR CABL",Taken/Referred to Other Agency,2
Leverett,2018,"LINE DOWN, POWER, PHONE OR CABL",Services Rendered,2
Leverett,2018,"LINE DOWN, POWER, PHONE OR CABL",Transferred/Ref to Utility,3
Leverett,2018,LOCKOUT,Services Rendered,1
Leverett,2018,LOCKOUT,TRANSFERRED TO STATE POLICE,1
Leverett,2018,MEDICAL EMERGENCY,ATHOL MEMORIAL HOSPITAL,1
Leverett,2018,MEDICAL EMERGENCY,Call Cancelled,1
Leverett,2018,MEDICAL EMERGENCY,COOLEY DICKINSON HOSPITAL,51
Leverett,2018,MEDICAL EMERGENCY,False Alarm,1
Leverett,2018,MEDICAL EMERGENCY,FRANKLIN MEDICAL CENTER,9
Leverett,2018,MEDICAL EMERGENCY,No Transport/Patient Refusal,10
Leverett,2018,MEDICAL EMERGENCY,Patient Refusal,1
Leverett,2018,MEDICAL EMERGENCY,Services Rendered,11
Leverett,2018,MISCELLANEOUS,Checks Okay,1
Leverett,2018,MISCELLANEOUS,Dispatch Handled,2
Leverett,2018,MISCELLANEOUS,Investigated,2
Leverett,2018,MISCELLANEOUS,No Action Required,1
Leverett,2018,MISCELLANEOUS,Services Rendered,2
Leverett,2018,MOTOR VEHICLE ACCIDENT NO INJU,COOLEY DICKINSON HOSPITAL,2
Leverett,2018,MOTOR VEHICLE ACCIDENT NO INJU,Citation/Warning Issued,1
Leverett,2018,MOTOR VEHICLE ACCIDENT NO INJU,Call Given to an Officer,1
Leverett,2018,MOTOR VEHICLE ACCIDENT NO INJU,Investigated,12
Leverett,2018,MOTOR VEHICLE ACCIDENT NO INJU,Report Taken,10
Leverett,2018,MOTOR VEHICLE ACCIDENT NO INJU,Services Rendered,8
Leverett,2018,MOTOR VEHICLE ACCIDENT NO INJU,Vehicle Towed,6
Leverett,2018,MOTOR VEHICLE COMPLAINT,Citation/Warning Issued,1
Leverett,2018,MOTOR VEHICLE COMPLAINT,Call Given to an Officer,4
Leverett,2018,MOTOR VEHICLE COMPLAINT,Could Not Locate,6
Leverett,2018,MOTOR VEHICLE COMPLAINT,Faxed to Station,1
Leverett,2018,MOTOR VEHICLE COMPLAINT,Gone on Arrival,2
Leverett,2018,MOTOR VEHICLE COMPLAINT,Negative Contact,3
Leverett,2018,MOTOR VEHICLE COMPLAINT,Taken/Referred to Other Agency,3
Leverett,2018,MOTOR VEHICLE COMPLAINT,TRANSFERRED TO STATE POLICE,1
Leverett,2018,MOTOR VEHICLE COMPLAINT,Unfounded,1
Leverett,2018,MOTOR VEHICLE ACCIDE W/INJURY,COOLEY DICKINSON HOSPITAL,1
Leverett,2018,MOTOR VEHICLE ACCIDE W/INJURY,Vehicle Towed,2
Leverett,2018,MOTOR VEHICLE - STOLEN,Report Taken,1
Leverett,2018,MOTOR VEHICLE - STOLEN,TRANSFERRED TO STATE POLICE,1
Leverett,2018,MOTOR VEHICLE VIOLATION,ACCIDENTAL,2
Leverett,2018,MOTOR VEHICLE VIOLATION,Arrest(s) Made,2
Leverett,2018,MOTOR VEHICLE VIOLATION,Call Cancelled,2
Leverett,2018,MOTOR VEHICLE VIOLATION,Citation/Warning Issued,362
Leverett,2018,MOTOR VEHICLE VIOLATION,Investigated,8
Leverett,2018,MOTOR VEHICLE VIOLATION,No Action Required,3
Leverett,2018,MOTOR VEHICLE VIOLATION,Negative Contact,1
Leverett,2018,MOTOR VEHICLE VIOLATION,Taken/Referred to Other Agency,1
Leverett,2018,MOTOR VEHICLE VIOLATION,Services Rendered,3
Leverett,2018,MOTOR VEHICLE VIOLATION,Vehicle Towed,13
Leverett,2018,MOTOR VEHICLE VIOLATION,Verbal Warning,165
Leverett,2018,NOISE COMPLAINT,TRANSFERRED TO STATE POLICE,1
Leverett,2018,NOTIFICATION,Dispatch Handled,1
Leverett,2018,NOTIFICATION,Faxed to Station,1
Leverett,2018,NOTIFICATION,Notification,2
Leverett,2018,NOTIFICATION,Services Rendered,1
Leverett,2018,ODOR INVESTIGATION,Investigated,3
Leverett,2018,OFFICER WANTED,Arrest(s) Made,1
Leverett,2018,OFFICER WANTED,Call Given to an Officer,2
Leverett,2018,OFFICER WANTED,Investigated,3
Leverett,2018,OFFICER WANTED,NOBODY HOME,1
Leverett,2018,OFFICER WANTED,Report Taken,1
Leverett,2018,OFFICER WANTED,TRANSFERRED TO STATE POLICE,3
Leverett,2018,PAPERWORK SERVICE,Investigated,1
Leverett,2018,PAPERWORK SERVICE,No Action Required,1
Leverett,2018,PAPERWORK SERVICE,Negative Contact,4
Leverett,2018,PAPERWORK SERVICE,NOBODY HOME,3
Leverett,2018,PAPERWORK SERVICE,SERVED IN HAND,12
Leverett,2018,PAPERWORK SERVICE,Services Rendered,17
Leverett,2018,ANNOYING PHONE CALLS,Faxed to Station,1
Leverett,2018,ANNOYING PHONE CALLS,Report Taken,1
Leverett,2018,PATROL AREA,Checks Okay,43
Leverett,2018,PATROL AREA,No Action Required,32
Leverett,2018,PATROL AREA,Services Rendered,28
Leverett,2018,PATROL AREA,Unfounded,1
Leverett,2018,RADAR/TRAFFIC ENFORCEMENT,ACCIDENTAL,1
Leverett,2018,RADAR/TRAFFIC ENFORCEMENT,Building Checked/Secured,1
Leverett,2018,RADAR/TRAFFIC ENFORCEMENT,Citation/Warning Issued,4
Leverett,2018,RADAR/TRAFFIC ENFORCEMENT,Checks Okay,8
Leverett,2018,RADAR/TRAFFIC ENFORCEMENT,Investigated,3
Leverett,2018,RADAR/TRAFFIC ENFORCEMENT,No Action Required,142
Leverett,2018,RADAR/TRAFFIC ENFORCEMENT,Negative Contact,1
Leverett,2018,RADAR/TRAFFIC ENFORCEMENT,Services Rendered,102
Leverett,2018,RADAR/TRAFFIC ENFORCEMENT,Verbal Warning,4
Leverett,2018,ROLLING 9,Citation/Warning Issued,1
Leverett,2018,ROLLING 9,Investigated,11
Leverett,2018,ROLLING 9,No Action Required,2
Leverett,2018,ROLLING 9,Report Taken,1
Leverett,2018,ROLLING 9,Vehicle Towed,1
Leverett,2018,ROLLING 9,Verbal Warning,1
Leverett,2018,ROLLING Q2-1,Citation/Warning Issued,1
Leverett,2018,SAFETY HAZARD,Investigated,2
Leverett,2018,SAFETY HAZARD,No Action Required,1
Leverett,2018,SAFETY HAZARD,Negative Contact,1
Leverett,2018,SAFETY HAZARD,Removed Hazard,2
Leverett,2018,SAFETY HAZARD,Taken/Referred to Other Agency,2
Leverett,2018,SAFETY HAZARD,Report Taken,1
Leverett,2018,SAFETY HAZARD,Services Rendered,6
Leverett,2018,SAFETY HAZARD,Transferred/Ref to Highway,4
Leverett,2018,SAFETY HAZARD,Transferred/Ref to Utility,1
Leverett,2018,Section 12,COOLEY DICKINSON HOSPITAL,1
Leverett,2018,SERVICE CALL,Investigated,1
Leverett,2018,SERVICE CALL,Services Rendered,5
Leverett,2018,SHOPLIFTING,Investigated,1
Leverett,2018,SHOTS FIRED,Investigated,2
Leverett,2018,SHOTS FIRED,TRANSFERRED TO STATE POLICE,1
Leverett,2018,SHOTS FIRED,Unfounded,1
Leverett,2018,SMOKE INVESTIGATION,Dispatch Handled,1
Leverett,2018,SMOKE INVESTIGATION,Extinguished,1
Leverett,2018,SUSPICIOUS PERSON,Investigated,2
Leverett,2018,SUSPICIOUS PERSON,Negative Contact,1
Leverett,2018,SUSPICIOUS PERSON,TRANSFERRED TO STATE POLICE,2
Leverett,2018,SUSPICIOUS PERSON,Unfounded,2
Leverett,2018,SUSPICIOUS ACTIVITY,TRANSFERRED TO STATE POLICE,1
Leverett,2018,SUSPICIOUS ACTIVITY,Unfounded,1
Leverett,2018,SUSPICIOUS VEHICLE,Arrest(s) Made,1
Leverett,2018,SUSPICIOUS VEHICLE,Checks Okay,1
Leverett,2018,SUSPICIOUS VEHICLE,Could Not Locate,1
Leverett,2018,SUSPICIOUS VEHICLE,Investigated,6
Leverett,2018,SUSPICIOUS VEHICLE,TRANSFERRED TO STATE POLICE,1
Leverett,2018,SUSPICIOUS VEHICLE,Unfounded,1
Leverett,2018,THREAT,Investigated,1
Leverett,2018,THREAT,TRANSFERRED TO STATE POLICE,1
Leverett,2018,TRAFFIC HAZARD,Investigated,2
Leverett,2018,TRAFFIC HAZARD,Removed Hazard,2
Leverett,2018,TRAFFIC HAZARD,Taken/Referred to Other Agency,5
Leverett,2018,TRAFFIC HAZARD,Services Rendered,3
Leverett,2018,TRAFFIC HAZARD,Transferred/Ref to Highway,6
Leverett,2018,TRAFFIC HAZARD,Transferred/Ref to Utility,1
Leverett,2018,TRAFFIC CONTROL,Investigated,1
Leverett,2018,TRAFFIC CONTROL,No Action Required,4
Leverett,2018,TRAFFIC CONTROL,Negative Contact,1
Leverett,2018,TRESPASS,Investigated,1
Leverett,2018,UNWANTED PERSON,Call Given to an Officer,1
Leverett,2018,UNWANTED PERSON,Report Taken,1
Leverett,2018,VANDALISM,Call Given to an Officer,1
Leverett,2018,VANDALISM,Could Not Locate,1
Leverett,2018,VANDALISM,Report Taken,2
Leverett,2019,209A SERVICE,SERVED IN HAND,1
Leverett,2019,ABANDONED 911 CALL,COOLEY DICKINSON HOSPITAL,1
Leverett,2019,ABANDONED 911 CALL,CONFIRMED MIS-DIAL,1
Leverett,2019,ABANDONED 911 CALL,TRANSFERRED TO STATE POLICE,1
Leverett,2019,911 CALL,ACCIDENTAL,1
Leverett,2019,911 CALL,CONFIRMED MIS-DIAL,6
Leverett,2019,911 CALL,Could Not Locate,1
Leverett,2019,911 CALL,Dispatch Handled,1
Leverett,2019,911 CALL,Investigated,3
Leverett,2019,911 CALL,No Action Required,3
Leverett,2019,911 CALL,NOBODY HOME,1
Leverett,2019,911 CALL,Taken/Referred to Other Agency,3
Leverett,2019,911 CALL,Services Rendered,1
Leverett,2019,911 CALL,TRANSFERRED TO STATE POLICE,3
Leverett,2019,911 CALL,Unfounded,1
Leverett,2019,911 HANG UP,Checks Okay,1
Leverett,2019,911 HANG UP,CONFIRMED MIS-DIAL,3
Leverett,2019,911 HANG UP,Call Given to an Officer,2
Leverett,2019,911 MIS DIAL,CONFIRMED MIS-DIAL,2
Leverett,2019,911 MIS DIAL,Investigated,1
Leverett,2019,911 Text to 911,TRANSFERRED TO STATE POLICE,1
Leverett,2019,ADMINISTRATIVE,ACCIDENTAL,1
Leverett,2019,ADMINISTRATIVE,Checks Okay,2
Leverett,2019,ADMINISTRATIVE,Call Given to an Officer,1
Leverett,2019,ADMINISTRATIVE,Investigated,5
Leverett,2019,ADMINISTRATIVE,No Action Required,99
Leverett,2019,ADMINISTRATIVE,NOBODY HOME,1
Leverett,2019,ADMINISTRATIVE,Services Rendered,187
Leverett,2019,ALARM BURGLAR OR HOLDUP,ACCIDENTAL,1
Leverett,2019,ALARM BURGLAR OR HOLDUP,Building Checked/Secured,26
Leverett,2019,ALARM BURGLAR OR HOLDUP,Call Cancelled,21
Leverett,2019,ALARM BURGLAR OR HOLDUP,Checks Okay,1
Leverett,2019,ALARM BURGLAR OR HOLDUP,FALSE Alarm,6
Leverett,2019,ALARM BURGLAR OR HOLDUP,Investigated,2
Leverett,2019,ALARM BURGLAR OR HOLDUP,No Action Required,1
Leverett,2019,ALARM BURGLAR OR HOLDUP,TRANSFERRED TO STATE POLICE,5
Leverett,2019,EMS ALARM - LIFELINE ACTIVATED,COOLEY DICKINSON HOSPITAL,3
Leverett,2019,EMS ALARM - LIFELINE ACTIVATED,FALSE Alarm,1
Leverett,2019,FIRE ALARM,Call Cancelled,1
Leverett,2019,FIRE ALARM,FALSE Alarm,2
Leverett,2019,FIRE ALARM,Investigated,9
Leverett,2019,FIRE ALARM,Services Rendered,1
Leverett,2019,ANIMAL COMPLAINT,Call Cancelled,1
Leverett,2019,ANIMAL COMPLAINT,Could Not Locate,2
Leverett,2019,ANIMAL COMPLAINT,Referred to Animal Control,1
Leverett,2019,ANIMAL COMPLAINT,Gone On Arrival,1
Leverett,2019,ANIMAL COMPLAINT,Investigated,1
Leverett,2019,ANIMAL COMPLAINT,No Action Required,1
Leverett,2019,ANIMAL COMPLAINT,Negative Contact,2
Leverett,2019,ANIMAL COMPLAINT,Notification,1
Leverett,2019,ANIMAL COMPLAINT,Protective Custody,1
Leverett,2019,ANIMAL COMPLAINT,Taken/Referred to Other Agency,1
Leverett,2019,ANIMAL COMPLAINT,Report Taken,2
Leverett,2019,ANIMAL COMPLAINT,Services Rendered,9
Leverett,2019,ANIMAL COMPLAINT,Transferred/Ref to Highway,1
Leverett,2019,ANIMAL COMPLAINT,Taken to Family/Guardian/Other,2
Leverett,2019,ANIMAL COMPLAINT,TRANSFERRED TO STATE POLICE,2
Leverett,2019,ANIMAL COMPLAINT,Unfounded,3
Leverett,2019,ASSIST CITIZEN,Investigated,4
Leverett,2019,ASSIST CITIZEN,No Action Required,3
Leverett,2019,ASSIST CITIZEN,Services Rendered,15
Leverett,2019,ASSIST OTHER AGENCY,Negative Contact,1
Leverett,2019,ASSIST OTHER AGENCY,Services Rendered,7
Leverett,2019,ASSIST OTHER AGENCY,TRANSFERRED TO STATE POLICE,2
Leverett,2019,ARTICLES LOST,Could Not Locate,1
Leverett,2019,ARTICLES LOST,Report Taken,1
Leverett,2019,ARTICLES LOST,Services Rendered,1
Leverett,2019,ARTICLES LOST,Taken to Family/Guardian/Other,1
Leverett,2019,ARTICLES RECOVERED,Negative Contact,2
Leverett,2019,ARTICLES RECOVERED,Notification,1
Leverett,2019,ARTICLES RECOVERED,Report Taken,1
Leverett,2019,ARTICLES RECOVERED,SERVED IN HAND,1
Leverett,2019,ARTICLES RECOVERED,Services Rendered,6
Leverett,2019,BREAKING & ENTERING PAST,Investigated,1
Leverett,2019,BREAKING & ENTERING PAST,Report Taken,1
Leverett,2019,BE ON THE LOOK OUT,Could Not Locate,1
Leverett,2019,BUILDING/LOCATION CHECK,Unknown,1
Leverett,2019,BUILDING/LOCATION CHECK,ACCIDENTAL,2
Leverett,2019,BUILDING/LOCATION CHECK,Building Checked/Secured,68
Leverett,2019,BUILDING/LOCATION CHECK,Citation/Warning Issued,2
Leverett,2019,BUILDING/LOCATION CHECK,Checks Okay,355
Leverett,2019,BUILDING/LOCATION CHECK,Faxed To Station,4
Leverett,2019,BUILDING/LOCATION CHECK,Investigated,2
Leverett,2019,BUILDING/LOCATION CHECK,No Action Required,93
Leverett,2019,BUILDING/LOCATION CHECK,Negative Contact,1
Leverett,2019,BUILDING/LOCATION CHECK,Notification,2
Leverett,2019,BUILDING/LOCATION CHECK,Services Rendered,72
Leverett,2019,CHIMNEY FIRE,Services Rendered,2
Leverett,2019,CHECK WELFARE,Call Cancelled,1
Leverett,2019,CHECK WELFARE,COOLEY DICKINSON HOSPITAL,1
Leverett,2019,CHECK WELFARE,Checks Okay,1
Leverett,2019,CHECK WELFARE,FRANKLIN MEDICAL CENTER,1
Leverett,2019,CHECK WELFARE,Investigated,7
Leverett,2019,CHECK WELFARE,Negative Contact,3
Leverett,2019,CHECK WELFARE,No Transport/Patient Refusal,1
Leverett,2019,CHECK WELFARE,Taken/Referred to Other Agency,1
Leverett,2019,CHECK WELFARE,Services Rendered,3
Leverett,2019,CHECK WELFARE,TRANSFERRED TO STATE POLICE,4
Leverett,2019,CHECK WELFARE,Unfounded,1
Leverett,2019,CRUISER MAINTENANCE,ACCIDENTAL,1
Leverett,2019,CRUISER MAINTENANCE,Checks Okay,5
Leverett,2019,CRUISER MAINTENANCE,Investigated,2
Leverett,2019,CRUISER MAINTENANCE,No Action Required,15
Leverett,2019,CRUISER MAINTENANCE,Notification,1
Leverett,2019,CRUISER MAINTENANCE,Report Taken,1
Leverett,2019,CRUISER MAINTENANCE,Services Rendered,50
Leverett,2019,CRUISER MAINTENANCE,Vehicle Towed,1
Leverett,2019,CARBON MONOXIDE HAZARD,COOLEY DICKINSON HOSPITAL,1
Leverett,2019,CARBON MONOXIDE HAZARD,FALSE Alarm,2
Leverett,2019,CARBON MONOXIDE HAZARD,Investigated,1
Leverett,2019,CARBON MONOXIDE HAZARD,Patient Refusal,1
Leverett,2019,CARBON MONOXIDE HAZARD,Services Rendered,2
Leverett,2019,COMMUNITY POLICING,Checks Okay,4
Leverett,2019,COMMUNITY POLICING,Good Intent,1
Leverett,2019,COMMUNITY POLICING,No Action Required,12
Leverett,2019,COMMUNITY POLICING,Services Rendered,22
Leverett,2019,COMPLAINT,Call Given to an Officer,1
Leverett,2019,COMPLAINT,Investigated,2
Leverett,2019,COMPLAINT,No Action Required,1
Leverett,2019,COMPLAINT,Transferred/Ref to Highway,1
Leverett,2019,COMPLAINT,Unfounded,1
Leverett,2019,COURT,No Action Required,2
Leverett,2019,COURT,Services Rendered,2
Leverett,2019,Car vs. Deer,Call Given to an Officer,1
Leverett,2019,Car vs. Deer,Investigated,2
Leverett,2019,Car vs. Deer,Report Taken,3
Leverett,2019,Car vs. Deer,Services Rendered,1
Leverett,2019,Car vs. Deer,Transferred/Ref to Highway,1
Leverett,2019,Car vs. Deer,TRANSFERRED TO STATE POLICE,3
Leverett,2019,DEATH,Services Rendered,1
Leverett,2019,DISTURBANCE,Could Not Locate,1
Leverett,2019,DISTURBANCE,Gone On Arrival,1
Leverett,2019,DISTURBANCE,Taken/Referred to Other Agency,1
Leverett,2019,DISTURBANCE,Report Taken,1
Leverett,2019,DISTURBANCE,TRANSFERRED TO STATE POLICE,2
Leverett,2019,DISABLED MV,Unknown,1
Leverett,2019,DISABLED MV,Investigated,3
Leverett,2019,DISABLED MV,No Action Required,3
Leverett,2019,DISABLED MV,Removed Hazard,1
Leverett,2019,DISABLED MV,Services Rendered,10
Leverett,2019,DISABLED MV,TRANSFERRED TO STATE POLICE,2
Leverett,2019,DISABLED MV,Vehicle Towed,3
Leverett,2019,DOMESTIC,BAYSTATE SPRINGFIELD MED CTR,1
Leverett,2019,Drill/Testing,Investigated,1
Leverett,2019,Drill/Testing,No Action Required,1
Leverett,2019,Drill/Testing,Services Rendered,4
Leverett,2019,DETAIL REQUEST,Call Given to an Officer,2
Leverett,2019,FIREARMS LICENSING,Investigated,1
Leverett,2019,FIREARMS LICENSING,No Action Required,4
Leverett,2019,FIREARMS LICENSING,Negative Contact,1
Leverett,2019,FIREARMS LICENSING,NOBODY HOME,2
Leverett,2019,FIREARMS LICENSING,SERVED IN HAND,2
Leverett,2019,FIREARMS LICENSING,Services Rendered,50
Leverett,2019,BRUSH FIRE,Extinguished,2
