"town","year","call_reason","actionname","actioncount"
"Leverett",2018-01-01,"CHECK WELFARE","Report Taken",1
"Leverett",2018-01-01,"CHECK WELFARE","Services Rendered",2
"Leverett",2018-01-01,"Civil Issue","No Action Required",1
"Leverett",2018-01-01,"CRUISER MAINTENANCE","Checks Okay",2
"Leverett",2018-01-01,"CRUISER MAINTENANCE","No Action Required",4
"Leverett",2018-01-01,"CRUISER MAINTENANCE","Services Rendered",9
"Leverett",2018-01-01,"CARBON MONOXIDE HAZARD","Investigated",3
"Leverett",2018-01-01,"CARBON MONOXIDE HAZARD","Services Rendered",2
"Leverett",2018-01-01,"COMMUNITY POLICING","Checks Okay",1
"Leverett",2018-01-01,"COMMUNITY POLICING","No Action Required",9
"Leverett",2018-01-01,"COMMUNITY POLICING","Services Rendered",8
"Leverett",2018-01-01,"COMPLAINT","NOBODY HOME",1
"Leverett",2018-01-01,"COMPLAINT","Report Taken",1
"Leverett",2018-01-01,"COMPLAINT","Services Rendered",1
"Leverett",2018-01-01,"COURT","No Action Required",1
"Leverett",2018-01-01,"COURT","Services Rendered",1
"Leverett",2018-01-01,"Car vs. Deer","Faxed To Station",1
"Leverett",2018-01-01,"Car vs. Deer","Investigated",1
"Leverett",2018-01-01,"Car vs. Deer","Report Taken",1
"Leverett",2018-01-01,"Car vs. Deer","TRANSFERRED TO STATE POLICE",2
"Leverett",2018-01-01,"DISTURBANCE","Arrest(s) Made",1
"Leverett",2018-01-01,"DISTURBANCE","Services Rendered",1
"Leverett",2018-01-01,"DISABLED MV","Call Given to an Officer",2
"Leverett",2018-01-01,"DISABLED MV","Dispatch Handled",1
"Leverett",2018-01-01,"DISABLED MV","Investigated",7
"Leverett",2018-01-01,"DISABLED MV","No Action Required",1
"Leverett",2018-01-01,"DISABLED MV","Negative Contact",1
"Leverett",2018-01-01,"DISABLED MV","Taken/Referred to Other Agency ",2
"Leverett",2018-01-01,"DISABLED MV","Services Rendered",9
"Leverett",2018-01-01,"DISABLED MV","Unfounded",1
"Leverett",2018-01-01,"DISABLED MV","Vehicle Towed",5
"Leverett",2018-01-01,"Drill/Testing","Services Rendered",4
"Leverett",2018-01-01,"ESCORT/TRANSPORT","Services Rendered",1
"Leverett",2018-01-01,"FIREARMS LICENSING","No Action Required",4
"Leverett",2018-01-01,"FIREARMS LICENSING","Services Rendered",3
"Leverett",2018-01-01,"BRUSH FIRE","Extinguished",1
"Leverett",2018-01-01,"FIRE, OTHER NON-SPECIFIC","Investigated",2
"Leverett",2018-01-01,"FIRE, OTHER NON-SPECIFIC","Services Rendered",2
"Leverett",2018-01-01,"VEHICLE FIRE","Vehicle Towed",1
"Leverett",2018-01-01,"FIRE WORKS","Call Given to an Officer",1
"Leverett",2018-01-01,"FOLLOW UP INVESTIGATION","Investigated",6
"Leverett",2018-01-01,"FOLLOW UP INVESTIGATION","No Action Required",1
"Leverett",2018-01-01,"FOLLOW UP INVESTIGATION","Report Taken",2
"Leverett",2018-01-01,"FOLLOW UP INVESTIGATION","Services Rendered",2
"Leverett",2018-01-01,"FOLLOW UP INVESTIGATION","TRANSFERRED TO STATE POLICE",1
"Leverett",2018-01-01,"FRAUD/SCAM","Call Given to an Officer",1
"Leverett",2018-01-01,"FRAUD/SCAM","Faxed To Station",1
"Leverett",2018-01-01,"FRAUD/SCAM","Investigated",1
"Leverett",2018-01-01,"FRAUD/SCAM","Report Taken",1
"Leverett",2018-01-01,"GAS LEAK","Investigated",1
"Leverett",2018-01-01,"GENERAL INFO","Faxed To Station",2
"Leverett",2018-01-01,"GENERAL INFO","TRANSFERRED TO STATE POLICE",1
"Leverett",2018-01-01,"HARASSMENT","Investigated",1
"Leverett",2018-01-01,"ILLEGAL BURN","Extinguished",2
"Leverett",2018-01-01,"ILLEGAL BURN","No Action Required",1
"Leverett",2018-01-01,"INVESTIGATION","Faxed To Station",1
"Leverett",2018-01-01,"INVESTIGATION","Investigated",8
"Leverett",2018-01-01,"INVESTIGATION","No Action Required",3
"Leverett",2018-01-01,"INVESTIGATION","Negative Contact",1
"Leverett",2018-01-01,"INVESTIGATION","NOBODY HOME",2
"Leverett",2018-01-01,"INVESTIGATION","Report Taken",2
"Leverett",2018-01-01,"LARCENY","Investigated",1
"Leverett",2018-01-01,"LARCENY","Report Taken",1
"Leverett",2018-01-01,"LINE DOWN, POWER,PHONE OR CABL","Removed Hazard",1
"Leverett",2018-01-01,"LINE DOWN, POWER,PHONE OR CABL","Taken/Referred to Other Agency ",2
"Leverett",2018-01-01,"LINE DOWN, POWER,PHONE OR CABL","Services Rendered",2
"Leverett",2018-01-01,"LINE DOWN, POWER,PHONE OR CABL","Transferred/Ref to Utility",3
"Leverett",2018-01-01,"LOCKOUT","Services Rendered",1
"Leverett",2018-01-01,"LOCKOUT","TRANSFERRED TO STATE POLICE",1
"Leverett",2018-01-01,"MEDICAL EMERGENCY","ATHOL MEMORIAL HOSPITAL",1
"Leverett",2018-01-01,"MEDICAL EMERGENCY","Call Cancelled",1
"Leverett",2018-01-01,"MEDICAL EMERGENCY","COOLEY DICKINSON HOSPITAL",51
"Leverett",2018-01-01,"MEDICAL EMERGENCY","False Alarm",1
"Leverett",2018-01-01,"MEDICAL EMERGENCY","FRANKLIN MEDICAL CENTER",9
"Leverett",2018-01-01,"MEDICAL EMERGENCY","No Transport/ Patient Refusal",10
"Leverett",2018-01-01,"MEDICAL EMERGENCY","Patient Refusal",1
"Leverett",2018-01-01,"MEDICAL EMERGENCY","Services Rendered",11
"Leverett",2018-01-01,"MISCELLANEOUS","Checks Okay",1
"Leverett",2018-01-01,"MISCELLANEOUS","Dispatch Handled",2
"Leverett",2018-01-01,"MISCELLANEOUS","Investigated",2
"Leverett",2018-01-01,"MISCELLANEOUS","No Action Required",1
"Leverett",2018-01-01,"MISCELLANEOUS","Services Rendered",2
"Leverett",2018-01-01,"MOTOR VEHICLE ACCIDENT NO INJU","COOLEY DICKINSON HOSPITAL",2
"Leverett",2018-01-01,"MOTOR VEHICLE ACCIDENT NO INJU","Citation/Warning Issued",1
"Leverett",2018-01-01,"MOTOR VEHICLE ACCIDENT NO INJU","Call Given to an Officer",1
"Leverett",2018-01-01,"MOTOR VEHICLE ACCIDENT NO INJU","Investigated",12
"Leverett",2018-01-01,"MOTOR VEHICLE ACCIDENT NO INJU","Report Taken",10
"Leverett",2018-01-01,"MOTOR VEHICLE ACCIDENT NO INJU","Services Rendered",8
"Leverett",2018-01-01,"MOTOR VEHICLE ACCIDENT NO INJU","Vehicle Towed",6
"Leverett",2018-01-01,"MOTOR VEHICLE COMPLAINT","Citation/Warning Issued",1
"Leverett",2018-01-01,"MOTOR VEHICLE COMPLAINT","Call Given to an Officer",4
"Leverett",2018-01-01,"MOTOR VEHICLE COMPLAINT","Could Not Locate",6
"Leverett",2018-01-01,"MOTOR VEHICLE COMPLAINT","Faxed To Station",1
"Leverett",2018-01-01,"MOTOR VEHICLE COMPLAINT","Gone On Arrival",2
"Leverett",2018-01-01,"MOTOR VEHICLE COMPLAINT","Negative Contact",3
"Leverett",2018-01-01,"MOTOR VEHICLE COMPLAINT","Taken/Referred to Other Agency ",3
"Leverett",2018-01-01,"MOTOR VEHICLE COMPLAINT","TRANSFERRED TO STATE POLICE",1
"Leverett",2018-01-01,"MOTOR VEHICLE COMPLAINT","Unfounded",1
"Leverett",2018-01-01,"MOTOR VEHICLE ACCIDE W/INJURY","COOLEY DICKINSON HOSPITAL",1
"Leverett",2018-01-01,"MOTOR VEHICLE ACCIDE W/INJURY","Vehicle Towed",2
"Leverett",2018-01-01,"MOTOR VEHICLE - STOLEN","Report Taken",1
"Leverett",2018-01-01,"MOTOR VEHICLE - STOLEN","TRANSFERRED TO STATE POLICE",1
"Leverett",2018-01-01,"MOTOR VEHICLE VIOLATION","ACCIDENTAL",2
"Leverett",2018-01-01,"MOTOR VEHICLE VIOLATION","Arrest(s) Made",2
"Leverett",2018-01-01,"MOTOR VEHICLE VIOLATION","Call Cancelled",2
"Leverett",2018-01-01,"MOTOR VEHICLE VIOLATION","Citation/Warning Issued",362
"Leverett",2018-01-01,"MOTOR VEHICLE VIOLATION","Investigated",8
"Leverett",2018-01-01,"MOTOR VEHICLE VIOLATION","No Action Required",3
"Leverett",2018-01-01,"MOTOR VEHICLE VIOLATION","Negative Contact",1
"Leverett",2018-01-01,"MOTOR VEHICLE VIOLATION","Taken/Referred to Other Agency ",1
"Leverett",2018-01-01,"MOTOR VEHICLE VIOLATION","Services Rendered",3
"Leverett",2018-01-01,"MOTOR VEHICLE VIOLATION","Vehicle Towed",13
"Leverett",2018-01-01,"MOTOR VEHICLE VIOLATION","Verbal Warning",165
"Leverett",2018-01-01,"NOISE COMPLAINT","TRANSFERRED TO STATE POLICE",1
"Leverett",2018-01-01,"NOTIFICATION","Dispatch Handled",1
"Leverett",2018-01-01,"NOTIFICATION","Faxed To Station",1
"Leverett",2018-01-01,"NOTIFICATION","Notification",2
"Leverett",2018-01-01,"NOTIFICATION","Services Rendered",1
"Leverett",2018-01-01,"ODOR INVESTIGATION","Investigated",3
"Leverett",2018-01-01,"OFFICER WANTED","Arrest(s) Made",1
"Leverett",2018-01-01,"OFFICER WANTED","Call Given to an Officer",2
"Leverett",2018-01-01,"OFFICER WANTED","Investigated",3
"Leverett",2018-01-01,"OFFICER WANTED","NOBODY HOME",1
"Leverett",2018-01-01,"OFFICER WANTED","Report Taken",1
"Leverett",2018-01-01,"OFFICER WANTED","TRANSFERRED TO STATE POLICE",3
"Leverett",2018-01-01,"PAPERWORK SERVICE","Investigated",1
"Leverett",2018-01-01,"PAPERWORK SERVICE","No Action Required",1
"Leverett",2018-01-01,"PAPERWORK SERVICE","Negative Contact",4
"Leverett",2018-01-01,"PAPERWORK SERVICE","NOBODY HOME",3
"Leverett",2018-01-01,"PAPERWORK SERVICE","SERVED IN HAND",12
"Leverett",2018-01-01,"PAPERWORK SERVICE","Services Rendered",17
"Leverett",2018-01-01,"ANNOYING PHONE CALLS","Faxed To Station",1
"Leverett",2018-01-01,"ANNOYING PHONE CALLS","Report Taken",1
"Leverett",2018-01-01,"PATROL AREA","Checks Okay",43
"Leverett",2018-01-01,"PATROL AREA","No Action Required",32
"Leverett",2018-01-01,"PATROL AREA","Services Rendered",28
"Leverett",2018-01-01,"PATROL AREA","Unfounded",1
"Leverett",2018-01-01,"RADAR/TRAFFIC ENFORCEMENT","ACCIDENTAL",1
"Leverett",2018-01-01,"RADAR/TRAFFIC ENFORCEMENT","Building Checked/Secured",1
"Leverett",2018-01-01,"RADAR/TRAFFIC ENFORCEMENT","Citation/Warning Issued",4
"Leverett",2018-01-01,"RADAR/TRAFFIC ENFORCEMENT","Checks Okay",8
"Leverett",2018-01-01,"RADAR/TRAFFIC ENFORCEMENT","Investigated",3
"Leverett",2018-01-01,"RADAR/TRAFFIC ENFORCEMENT","No Action Required",142
"Leverett",2018-01-01,"RADAR/TRAFFIC ENFORCEMENT","Negative Contact",1
"Leverett",2018-01-01,"RADAR/TRAFFIC ENFORCEMENT","Services Rendered",102
"Leverett",2018-01-01,"RADAR/TRAFFIC ENFORCEMENT","Verbal Warning",4
"Leverett",2018-01-01,"ROLLING 9","Citation/Warning Issued",1
"Leverett",2018-01-01,"ROLLING 9","Investigated",11
"Leverett",2018-01-01,"ROLLING 9","No Action Required",2
"Leverett",2018-01-01,"ROLLING 9","Report Taken",1
"Leverett",2018-01-01,"ROLLING 9","Vehicle Towed",1
"Leverett",2018-01-01,"ROLLING 9","Verbal Warning",1
"Leverett",2018-01-01,"ROLLING Q2-1","Citation/Warning Issued",1
"Leverett",2018-01-01,"SAFETY HAZARD","Investigated",2
"Leverett",2018-01-01,"SAFETY HAZARD","No Action Required",1
"Leverett",2018-01-01,"SAFETY HAZARD","Negative Contact",1
"Leverett",2018-01-01,"SAFETY HAZARD","Removed Hazard",2
"Leverett",2018-01-01,"SAFETY HAZARD","Taken/Referred to Other Agency ",2
"Leverett",2018-01-01,"SAFETY HAZARD","Report Taken",1
"Leverett",2018-01-01,"SAFETY HAZARD","Services Rendered",6
"Leverett",2018-01-01,"SAFETY HAZARD","Transferred/Ref to Highway",4
"Leverett",2018-01-01,"SAFETY HAZARD","Transferred/Ref to Utility",1
"Leverett",2018-01-01,"Section 12","COOLEY DICKINSON HOSPITAL",1
"Leverett",2018-01-01,"SERVICE CALL","Investigated",1
"Leverett",2018-01-01,"SERVICE CALL","Services Rendered",5
"Leverett",2018-01-01,"SHOPLIFTING","Investigated",1
"Leverett",2018-01-01,"SHOTS FIRED","Investigated",2
"Leverett",2018-01-01,"SHOTS FIRED","TRANSFERRED TO STATE POLICE",1
"Leverett",2018-01-01,"SHOTS FIRED","Unfounded",1
"Leverett",2018-01-01,"SMOKE INVESTIGATION","Dispatch Handled",1
"Leverett",2018-01-01,"SMOKE INVESTIGATION","Extinguished",1
"Leverett",2018-01-01,"SUSPICIOUS PERSON","Investigated",2
"Leverett",2018-01-01,"SUSPICIOUS PERSON","Negative Contact",1
"Leverett",2018-01-01,"SUSPICIOUS PERSON","TRANSFERRED TO STATE POLICE",2
"Leverett",2018-01-01,"SUSPICIOUS PERSON","Unfounded",2
"Leverett",2018-01-01,"SUSPICIOUS ACTIVITY","TRANSFERRED TO STATE POLICE",1
"Leverett",2018-01-01,"SUSPICIOUS ACTIVITY","Unfounded",1
"Leverett",2018-01-01,"SUSPICIOUS VEHICLE","Arrest(s) Made",1
"Leverett",2018-01-01,"SUSPICIOUS VEHICLE","Checks Okay",1
"Leverett",2018-01-01,"SUSPICIOUS VEHICLE","Could Not Locate",1
"Leverett",2018-01-01,"SUSPICIOUS VEHICLE","Investigated",6
"Leverett",2018-01-01,"SUSPICIOUS VEHICLE","TRANSFERRED TO STATE POLICE",1
"Leverett",2018-01-01,"SUSPICIOUS VEHICLE","Unfounded",1
"Leverett",2018-01-01,"THREAT","Investigated",1
"Leverett",2018-01-01,"THREAT","TRANSFERRED TO STATE POLICE",1
"Leverett",2018-01-01,"TRAFFIC HAZARD","Investigated",2
"Leverett",2018-01-01,"TRAFFIC HAZARD","Removed Hazard",2
"Leverett",2018-01-01,"TRAFFIC HAZARD","Taken/Referred to Other Agency ",5
"Leverett",2018-01-01,"TRAFFIC HAZARD","Services Rendered",3
"Leverett",2018-01-01,"TRAFFIC HAZARD","Transferred/Ref to Highway",6
"Leverett",2018-01-01,"TRAFFIC HAZARD","Transferred/Ref to Utility",1
"Leverett",2018-01-01,"TRAFFIC CONTROL","Investigated",1
"Leverett",2018-01-01,"TRAFFIC CONTROL","No Action Required",4
"Leverett",2018-01-01,"TRAFFIC CONTROL","Negative Contact",1
"Leverett",2018-01-01,"TRESPASS","Investigated",1
"Leverett",2018-01-01,"UNWANTED PERSON","Call Given to an Officer",1
"Leverett",2018-01-01,"UNWANTED PERSON","Report Taken",1
"Leverett",2018-01-01,"VANDALISM","Call Given to an Officer",1
"Leverett",2018-01-01,"VANDALISM","Could Not Locate",1
"Leverett",2018-01-01,"VANDALISM","Report Taken",2
"Leverett",2018-01-01,"SERVE WARRANT","Arrest(s) Made",1
"Leverett",2019-01-01,"209A SERVICE","SERVED IN HAND",1
"Leverett",2019-01-01,"ABANDONED 911 CALL","COOLEY DICKINSON HOSPITAL",1
"Leverett",2019-01-01,"ABANDONED 911 CALL","CONFIRMED MIS-DIAL",1
"Leverett",2019-01-01,"ABANDONED 911 CALL","TRANSFERRED TO STATE POLICE",1
"Leverett",2019-01-01,"911 CALL","ACCIDENTAL",1
"Leverett",2019-01-01,"911 CALL","CONFIRMED MIS-DIAL",6
"Leverett",2019-01-01,"911 CALL","Could Not Locate",1
"Leverett",2019-01-01,"911 CALL","Dispatch Handled",1
"Leverett",2019-01-01,"911 CALL","Investigated",3
"Leverett",2019-01-01,"911 CALL","No Action Required",3
"Leverett",2019-01-01,"911 CALL","NOBODY HOME",1
"Leverett",2019-01-01,"911 CALL","Taken/Referred to Other Agency ",3
"Leverett",2019-01-01,"911 CALL","Services Rendered",1
"Leverett",2019-01-01,"911 CALL","TRANSFERRED TO STATE POLICE",3
"Leverett",2019-01-01,"911 CALL","Unfounded",1
"Leverett",2019-01-01,"911 HANG UP","Checks Okay",1
"Leverett",2019-01-01,"911 HANG UP","CONFIRMED MIS-DIAL",3
"Leverett",2019-01-01,"911 HANG UP","Call Given to an Officer",2
"Leverett",2019-01-01,"911 MIS DIAL","CONFIRMED MIS-DIAL",2
"Leverett",2019-01-01,"911 MIS DIAL","Investigated",1
"Leverett",2019-01-01,"911 Text to 911","TRANSFERRED TO STATE POLICE",1
"Leverett",2019-01-01,"ADMINISTRATIVE","ACCIDENTAL",1
"Leverett",2019-01-01,"ADMINISTRATIVE","Checks Okay",2
"Leverett",2019-01-01,"ADMINISTRATIVE","Call Given to an Officer",1
"Leverett",2019-01-01,"ADMINISTRATIVE","Investigated",5
"Leverett",2019-01-01,"ADMINISTRATIVE","No Action Required",99
"Leverett",2019-01-01,"ADMINISTRATIVE","NOBODY HOME",1
"Leverett",2019-01-01,"ADMINISTRATIVE","Services Rendered",187
"Leverett",2019-01-01,"ALARM BURGLAR OR HOLDUP","ACCIDENTAL",1
"Leverett",2019-01-01,"ALARM BURGLAR OR HOLDUP","Building Checked/Secured",26
"Leverett",2019-01-01,"ALARM BURGLAR OR HOLDUP","Call Cancelled",21
"Leverett",2019-01-01,"ALARM BURGLAR OR HOLDUP","Checks Okay",1
"Leverett",2019-01-01,"ALARM BURGLAR OR HOLDUP","False Alarm",6
"Leverett",2019-01-01,"ALARM BURGLAR OR HOLDUP","Investigated",2
"Leverett",2019-01-01,"ALARM BURGLAR OR HOLDUP","No Action Required",1
"Leverett",2019-01-01,"ALARM BURGLAR OR HOLDUP","TRANSFERRED TO STATE POLICE",5
"Leverett",2019-01-01,"EMS ALARM - LIFELINE ACTIVATED","COOLEY DICKINSON HOSPITAL",3
"Leverett",2019-01-01,"EMS ALARM - LIFELINE ACTIVATED","False Alarm",1
"Leverett",2019-01-01,"FIRE ALARM","Call Cancelled",1
"Leverett",2019-01-01,"FIRE ALARM","False Alarm",2
"Leverett",2019-01-01,"FIRE ALARM","Investigated",9
"Leverett",2019-01-01,"FIRE ALARM","Services Rendered",1
"Leverett",2019-01-01,"ANIMAL COMPLAINT","Call Cancelled",1
"Leverett",2019-01-01,"ANIMAL COMPLAINT","Could Not Locate",2
"Leverett",2019-01-01,"ANIMAL COMPLAINT","Referred to Animal Control",1
"Leverett",2019-01-01,"ANIMAL COMPLAINT","Gone On Arrival",1
"Leverett",2019-01-01,"ANIMAL COMPLAINT","Investigated",1
"Leverett",2019-01-01,"ANIMAL COMPLAINT","No Action Required",1
"Leverett",2019-01-01,"ANIMAL COMPLAINT","Negative Contact",2
"Leverett",2019-01-01,"ANIMAL COMPLAINT","Notification",1
"Leverett",2019-01-01,"ANIMAL COMPLAINT","Protective Custody",1
"Leverett",2019-01-01,"ANIMAL COMPLAINT","Taken/Referred to Other Agency ",1
"Leverett",2019-01-01,"ANIMAL COMPLAINT","Report Taken",2
"Leverett",2019-01-01,"ANIMAL COMPLAINT","Services Rendered",9
"Leverett",2019-01-01,"ANIMAL COMPLAINT","Transferred/Ref to Highway",1
"Leverett",2019-01-01,"ANIMAL COMPLAINT","Taken to Family/Guardian/Other ",2
"Leverett",2019-01-01,"ANIMAL COMPLAINT","TRANSFERRED TO STATE POLICE",2
"Leverett",2019-01-01,"ANIMAL COMPLAINT","Unfounded",3
"Leverett",2019-01-01,"ASSIST CITIZEN","Investigated",4
"Leverett",2019-01-01,"ASSIST CITIZEN","No Action Required",3
"Leverett",2019-01-01,"ASSIST CITIZEN","Services Rendered",15
"Leverett",2019-01-01,"ASSIST OTHER AGENCY","Negative Contact",1
"Leverett",2019-01-01,"ASSIST OTHER AGENCY","Services Rendered",7
"Leverett",2019-01-01,"ASSIST OTHER AGENCY","TRANSFERRED TO STATE POLICE",2
"Leverett",2019-01-01,"ARTICLES LOST","Could Not Locate",1
"Leverett",2019-01-01,"ARTICLES LOST","Report Taken",1
"Leverett",2019-01-01,"ARTICLES LOST","Services Rendered",1
"Leverett",2019-01-01,"ARTICLES LOST","Taken to Family/Guardian/Other ",1
"Leverett",2019-01-01,"ARTICLES RECOVERED","Negative Contact",2
"Leverett",2019-01-01,"ARTICLES RECOVERED","Notification",1
"Leverett",2019-01-01,"ARTICLES RECOVERED","Report Taken",1
"Leverett",2019-01-01,"ARTICLES RECOVERED","SERVED IN HAND",1
"Leverett",2019-01-01,"ARTICLES RECOVERED","Services Rendered",6
"Leverett",2019-01-01,"BREAKING & ENTERING PAST","Investigated",1
"Leverett",2019-01-01,"BREAKING & ENTERING PAST","Report Taken",1
"Leverett",2019-01-01,"BE ON THE LOOK OUT","Could Not Locate",1
"Leverett",2019-01-01,"BUILDING/LOCATION CHECK","Unknown",1
"Leverett",2019-01-01,"BUILDING/LOCATION CHECK","ACCIDENTAL",2
