id,xspanish,complete_status,ppage,ppeduc5,ppeducat,ppgender,ppethm,pphhsize,ppinc7,ppmarit5,ppmsacat,ppreg4,pprent,ppstaten,PPWORKA,ppemploy,Q1_a,Q1_b,Q1_c,Q1_d,Q1_e,Q1_f,Q2,Q3,Q4,Q5,QPID,ABCAGE,Contact,weights_pid
7230011,English,qualified,58,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",2,"$25,000 to $49,999",Never married,Metro area,NorthEast,Occupied without payment of cash rent,Pennsylvania,Other,Not working,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Somewhat concerned,Yes,Poor,Pessimistic,An Independent,50-64,"No, I am not willing to be interviewed",.9802
7230012,English,qualified,50,Master’s degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",1,"$100,000 to $149,999",Divorced,Metro area,South,Rented for cash,Maryland,Employed full-time (by someone else),Working full-time,Approve,Disapprove,Approve,Disapprove,Approve,Disapprove,Not so concerned,Yes,Good,Optimistic,A Democrat,50-64,"Yes, I am willing to be interviewed",.4312
7230013,English,qualified,84,Master’s degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",1,"$100,000 to $149,999",Widowed,Metro area,West,Owned or being bought by you or someone in your household,California,Retired,Not working,Approve,Approve,Approve,Approve,Approve,Approve,Very concerned,No,Good,Pessimistic,A Democrat,65+,"No, I am not willing to be interviewed",.3791
7230014,English,qualified,61,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",2,"$75,000 to $99,999",Now Married,Metro area,West,Rented for cash,Arizona,Employed full-time (by someone else),Working full-time,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Not concerned at all,Yes,Poor,Pessimistic,A Republican,50-64,"No, I am not willing to be interviewed",.7806
7230015,English,qualified,77,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",2,"$75,000 to $99,999",Widowed,Metro area,South,Owned or being bought by you or someone in your household,Texas,Retired,Not working,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Not so concerned,Yes,Poor,Pessimistic,An Independent,65+,"No, I am not willing to be interviewed",.9526
7230016,English,qualified,55,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",3,"$100,000 to $149,999",Now Married,Metro area,NorthEast,Owned or being bought by you or someone in your household,New Jersey,Employed full-time (by someone else),Working full-time,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Very concerned,No,Poor,Pessimistic,A Republican,50-64,"No, I am not willing to be interviewed",.6934
7230017,English,qualified,64,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$75,000 to $99,999",Now Married,Non-metro area,MidWest,Owned or being bought by you or someone in your household,North Dakota,Employed full-time (by someone else),Working full-time,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Somewhat concerned,No,Poor,Pessimistic,An Independent,50-64,"No, I am not willing to be interviewed",.7116
7230018,English,qualified,48,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",2,"$50,000 to $74,999",Now Married,Metro area,NorthEast,Owned or being bought by you or someone in your household,Connecticut,Employed full-time (by someone else),Working full-time,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Somewhat concerned,No,Poor,Pessimistic,An Independent,30-49,"No, I am not willing to be interviewed",1.1178
7230019,English,qualified,78,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",2,"$25,000 to $49,999",Now Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Michigan,Retired,Not working,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Somewhat concerned,Yes,Not so good,Pessimistic,An Independent,65+,"No, I am not willing to be interviewed",1.0967
7230020,English,qualified,72,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",1,"$25,000 to $49,999",Now Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Michigan,Retired,Not working,Disapprove,Approve,Approve,Approve,Disapprove,Approve,Not so concerned,No,Good,Optimistic,A Democrat,65+,"No, I am not willing to be interviewed",.5569
7230021,English,qualified,55,Master’s degree or above,Bachelors degree or higher,Female,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro area,NorthEast,Owned or being bought by you or someone in your household,Massachusetts,Employed full-time (by someone else),Working full-time,Approve,Approve,Approve,Disapprove,Approve,Approve,Somewhat concerned,Yes,Good,Pessimistic,An Independent,50-64,"Yes, I am willing to be interviewed",.7256
7230022,English,qualified,44,Master’s degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro area,West,Rented for cash,California,Employed full-time (by someone else),Working full-time,Approve,Approve,Approve,Approve,Approve,Approve,Not so concerned,Yes,Good,Pessimistic,A Democrat,30-49,"No, I am not willing to be interviewed",.5788
7230023,English,qualified,61,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",3,"$75,000 to $99,999",Now Married,Metro area,West,Owned or being bought by you or someone in your household,Oregon,Employed full-time (by someone else),Working full-time,Approve,Approve,Approve,Approve,Approve,Approve,Very concerned,Yes,Excellent,Optimistic,A Democrat,50-64,"No, I am not willing to be interviewed",.452
7230024,English,qualified,73,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Metro area,West,Owned or being bought by you or someone in your household,California,Retired,Not working,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Not so concerned,Yes,Poor,Pessimistic,A Republican,65+,"No, I am not willing to be interviewed",.5786
7230025,English,qualified,66,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",2,"$25,000 to $49,999",Now Married,Non-metro area,South,Owned or being bought by you or someone in your household,Texas,Retired,Not working,Approve,Approve,Approve,Disapprove,Approve,Approve,Somewhat concerned,Yes,Good,Optimistic,An Independent,65+,"No, I am not willing to be interviewed",.8143
7230026,English,qualified,42,Bachelor’s degree,Bachelors degree or higher,Female,Hispanic,1,"$100,000 to $149,999",Now Married,Metro area,West,Owned or being bought by you or someone in your household,California,Employed full-time (by someone else),Working full-time,Approve,Approve,Approve,Approve,Approve,Approve,Somewhat concerned,Yes,Good,Optimistic,An Independent,30-49,"No, I am not willing to be interviewed",2.1221
7230027,English,qualified,47,Master’s degree or above,Bachelors degree or higher,Male,"Other, Non-Hispanic",1,"$100,000 to $149,999",Never married,Metro area,MidWest,Owned or being bought by you or someone in your household,Illinois,Employed full-time (by someone else),Working full-time,Approve,Approve,Approve,Approve,Approve,Disapprove,Somewhat concerned,Yes,Good,Optimistic,An Independent,30-49,"No, I am not willing to be interviewed",.9763
7230028,English,qualified,65,Master’s degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$25,000 to $49,999",Now Married,Metro area,South,Owned or being bought by you or someone in your household,Arkansas,Retired,Not working,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Somewhat concerned,No,Good,Pessimistic,An Independent,65+,"No, I am not willing to be interviewed",.6996
7230029,English,qualified,74,Master’s degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Non-metro area,South,Owned or being bought by you or someone in your household,South Carolina,Retired,Not working,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Not so concerned,Yes,Poor,Pessimistic,A Republican,65+,"Yes, I am willing to be interviewed",.4123
7230030,English,qualified,84,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",2,"$75,000 to $99,999",Now Married,Metro area,NorthEast,Owned or being bought by you or someone in your household,Pennsylvania,Retired,Not working,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Not so concerned,No,Poor,Pessimistic,A Republican,65+,"No, I am not willing to be interviewed",.6217
7230031,English,qualified,59,Bachelor’s degree,Bachelors degree or higher,Female,"White, Non-Hispanic",3,"$150,000 or more",Now Married,Metro area,South,Owned or being bought by you or someone in your household,Tennessee,Employed full-time (by someone else),Working full-time,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Somewhat concerned,Yes,Poor,Pessimistic,An Independent,50-64,"No, I am not willing to be interviewed",.7486
7230032,English,qualified,66,Bachelor’s degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,"$50,000 to $74,999",Now Married,Metro area,West,Owned or being bought by you or someone in your household,Arizona,Homemaker,Not working,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Not so concerned,No,Poor,Pessimistic,Something else,65+,"No, I am not willing to be interviewed",.9896
7230033,English,qualified,76,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Metro area,West,Owned or being bought by you or someone in your household,Hawaii,Retired,Not working,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Somewhat concerned,Yes,Poor,Pessimistic,A Republican,65+,"No, I am not willing to be interviewed",.6934
7230034,English,qualified,44,Master’s degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",5,"$150,000 or more",Now Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Kansas,Employed full-time (by someone else),Working full-time,Approve,Disapprove,Approve,Approve,Approve,Disapprove,Not so concerned,Yes,Good,Optimistic,An Independent,30-49,"Yes, I am willing to be interviewed",.9793
7230035,English,qualified,32,Bachelor’s degree,Bachelors degree or higher,Male,"White, Non-Hispanic",1,"$150,000 or more",Now Married,Metro area,NorthEast,Owned or being bought by you or someone in your household,Pennsylvania,Retired,Working full-time,Approve,Approve,Approve,Approve,Approve,Approve,Not so concerned,Yes,Excellent,Optimistic,A Democrat,30-49,"No, I am not willing to be interviewed",.5524
7230036,English,qualified,55,Bachelor’s degree,Bachelors degree or higher,Male,Hispanic,2,"$150,000 or more",Now Married,Metro area,South,Owned or being bought by you or someone in your household,Texas,Employed full-time (by someone else),Working full-time,Disapprove,Disapprove,Approve,Approve,Approve,Disapprove,Somewhat concerned,Yes,Not so good,Optimistic,An Independent,50-64,"No, I am not willing to be interviewed",1.2767
7230037,English,qualified,53,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",4,"$100,000 to $149,999",Now Married,Metro area,NorthEast,Owned or being bought by you or someone in your household,Pennsylvania,Employed full-time (by someone else),Working full-time,Approve,Disapprove,Approve,Disapprove,Approve,Approve,Somewhat concerned,Yes,Good,Optimistic,A Republican,50-64,"No, I am not willing to be interviewed",.6934
7230038,English,qualified,44,Bachelor’s degree,Bachelors degree or higher,Female,"Other, Non-Hispanic",5,"$150,000 or more",Now Married,Metro area,West,Owned or being bought by you or someone in your household,California,Homemaker,Not working,Disapprove,Disapprove,Approve,Approve,Approve,Approve,Not so concerned,Yes,Not so good,Pessimistic,An Independent,30-49,"No, I am not willing to be interviewed",1.2446
7230039,English,qualified,37,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",6 or more,"$25,000 to $49,999",Never married,Metro area,NorthEast,Rented for cash,Pennsylvania,Employed full-time (by someone else),Working full-time,Approve,Approve,Approve,Approve,Approve,Approve,Somewhat concerned,Yes,Good,Optimistic,A Democrat,30-49,"No, I am not willing to be interviewed",.8098
7230040,English,qualified,67,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro area,West,Owned or being bought by you or someone in your household,Colorado,Self-employed,Working full-time,Approve,Approve,Approve,Approve,Approve,Approve,Not so concerned,Yes,Good,Optimistic,An Independent,65+,"Yes, I am willing to be interviewed",.698
7230041,English,qualified,31,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",4,"$10,000 to $24,999",Never married,Metro area,West,Rented for cash,Washington,Employed full-time (by someone else),Working part-time,Approve,Disapprove,Approve,Disapprove,Disapprove,Approve,Very concerned,Yes,Good,Optimistic,A Democrat,30-49,"No, I am not willing to be interviewed",.7557
7230042,English,qualified,58,Master’s degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",1,"$150,000 or more",Now Married,Metro area,South,Owned or being bought by you or someone in your household,Louisiana,Employed full-time (by someone else),Working full-time,Approve,Approve,Approve,Approve,Approve,Approve,Very concerned,Yes,Good,Optimistic,An Independent,50-64,"Yes, I am willing to be interviewed",.6346
7230043,English,qualified,60,Some college or Associate degree,Some college,Female,"Black, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Metro area,South,Rented for cash,Georgia,Homemaker,Not working,Approve,Approve,Approve,Approve,Approve,Approve,Very concerned,Yes,Good,Optimistic,A Democrat,50-64,"No, I am not willing to be interviewed",1.5368
7230044,English,qualified,69,Bachelor’s degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,"$25,000 to $49,999",Now Married,Metro area,South,Owned or being bought by you or someone in your household,Texas,Retired,Not working,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Somewhat concerned,No,Poor,Pessimistic,An Independent,65+,"No, I am not willing to be interviewed",.8383
7230045,English,qualified,52,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro area,South,Rented for cash,Virginia,Other,Working full-time,Approve,Disapprove,Approve,Approve,Approve,Approve,Not so concerned,No,Good,Pessimistic,An Independent,50-64,"No, I am not willing to be interviewed",.8617
7230046,English,qualified,52,Bachelor’s degree,Bachelors degree or higher,Female,"White, Non-Hispanic",3,"$150,000 or more",Now Married,Metro area,South,Owned or being bought by you or someone in your household,Georgia,Employed full-time (by someone else),Working full-time,Approve,Approve,Approve,Approve,Approve,Approve,Somewhat concerned,Yes,Good,Optimistic,A Democrat,50-64,"No, I am not willing to be interviewed",.4555
7230047,English,qualified,72,Master’s degree or above,Bachelors degree or higher,Female,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Wisconsin,Retired,Not working,Approve,Approve,Approve,Approve,Approve,Disapprove,Somewhat concerned,Yes,Good,Optimistic,A Democrat,65+,"No, I am not willing to be interviewed",.4188
7230048,English,qualified,80,Master’s degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Wisconsin,Retired,Not working,Approve,Disapprove,Approve,Disapprove,Approve,Approve,Not so concerned,Yes,Good,Optimistic,A Democrat,65+,"No, I am not willing to be interviewed",.3495
7230049,English,qualified,69,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$50,000 to $74,999",Now Married,Non-metro area,NorthEast,Owned or being bought by you or someone in your household,Vermont,Retired,Not working,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Not so concerned,Yes,Good,Pessimistic,An Independent,65+,"Yes, I am willing to be interviewed",.7631
7230050,English,qualified,76,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",2,"$50,000 to $74,999",Now Married,Metro area,South,Owned or being bought by you or someone in your household,Florida,Retired,Not working,Approve,Approve,Approve,Disapprove,Approve,Approve,Not so concerned,Yes,Good,Pessimistic,An Independent,65+,"No, I am not willing to be interviewed",.9196
7230051,English,qualified,75,Bachelor’s degree,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Ohio,Self-employed,Working full-time,Approve,Disapprove,Approve,Disapprove,Disapprove,Approve,Not so concerned,Yes,Excellent,Optimistic,An Independent,65+,"Yes, I am willing to be interviewed",.5744
7230052,English,qualified,74,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",2,"$25,000 to $49,999",Now Married,Metro area,NorthEast,Owned or being bought by you or someone in your household,Pennsylvania,Retired,Not working,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Somewhat concerned,Yes,Poor,Pessimistic,A Republican,65+,"No, I am not willing to be interviewed",.8202
7230053,English,qualified,64,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Non-metro area,MidWest,Rented for cash,Missouri,Retired,Not working,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Not so concerned,Yes,Poor,Pessimistic,A Republican,50-64,"Yes, I am willing to be interviewed",.5948
7230054,English,qualified,74,Bachelor’s degree,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Metro area,South,Owned or being bought by you or someone in your household,North Carolina,Retired,Not working,Approve,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Somewhat concerned,Yes,Good,Pessimistic,An Independent,65+,"Yes, I am willing to be interviewed",.6133
7230055,English,qualified,74,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",1,"$75,000 to $99,999",Now Married,Metro area,NorthEast,Owned or being bought by you or someone in your household,New Jersey,Retired,Not working,Approve,Skipped,Skipped,Skipped,Skipped,Skipped,Somewhat concerned,Yes,Skipped,Skipped,Skipped,65+,"No, I am not willing to be interviewed",1.0215
7230056,English,qualified,27,Some college or Associate degree,Some college,Male,Hispanic,3,"$150,000 or more",Never married,Metro area,West,Owned or being bought by you or someone in your household,California,Employed full-time (by someone else),Working full-time,Approve,Disapprove,Approve,Disapprove,Disapprove,Disapprove,Not so concerned,Yes,Not so good,Pessimistic,An Independent,18-29,"No, I am not willing to be interviewed",2.7723
7230057,English,qualified,56,Master’s degree or above,Bachelors degree or higher,Male,"Other, Non-Hispanic",4,"$100,000 to $149,999",Divorced,Metro area,NorthEast,Owned or being bought by you or someone in your household,New York,Employed full-time (by someone else),Working full-time,Approve,Disapprove,Approve,Approve,Approve,Approve,Very concerned,Yes,Good,Optimistic,A Democrat,50-64,"Yes, I am willing to be interviewed",.5507
7230058,English,qualified,64,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",2,"$50,000 to $74,999",Now Married,Metro area,South,Owned or being bought by you or someone in your household,Kentucky,Retired,Not working,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Very concerned,Yes,Good,Pessimistic,A Republican,50-64,"Yes, I am willing to be interviewed",.8891
7230059,English,qualified,70,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",2,"$25,000 to $49,999",Now Married,Metro area,South,Owned or being bought by you or someone in your household,Texas,Retired,Not working,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Somewhat concerned,Yes,Poor,Pessimistic,An Independent,65+,"No, I am not willing to be interviewed",1.0489
7230060,English,qualified,62,Master’s degree or above,Bachelors degree or higher,Male,"Other, Non-Hispanic",2,"$150,000 or more",Divorced,Metro area,West,Owned or being bought by you or someone in your household,Nevada,Employed full-time (by someone else),Working full-time,Approve,Disapprove,Approve,Disapprove,Disapprove,Approve,Very concerned,Yes,Excellent,Optimistic,An Independent,50-64,"Yes, I am willing to be interviewed",.735
7230061,English,qualified,43,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",2,"$50,000 to $74,999",Never married,Metro area,NorthEast,Owned or being bought by you or someone in your household,Pennsylvania,Self-employed,Working full-time,Approve,Approve,Approve,Approve,Approve,Approve,Somewhat concerned,Yes,Good,Optimistic,A Democrat,30-49,"No, I am not willing to be interviewed",.8451
7230062,English,qualified,67,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",2,"$75,000 to $99,999",Now Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Ohio,Retired,Not working,Approve,Approve,Approve,Approve,Approve,Approve,Very concerned,Yes,Excellent,Optimistic,A Democrat,65+,"Yes, I am willing to be interviewed",.5577
7230063,English,qualified,65,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",4,"$100,000 to $149,999",Now Married,Metro area,MidWest,Occupied without payment of cash rent,Michigan,Retired,Not working,Skipped,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Somewhat concerned,Yes,Not so good,Pessimistic,An Independent,65+,"No, I am not willing to be interviewed",.8848
7230064,English,qualified,71,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",1,"$10,000 to $24,999",Divorced,Metro area,West,Rented for cash,Arizona,Retired,Not working,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Not so concerned,No,Poor,Pessimistic,A Republican,65+,"Yes, I am willing to be interviewed",.7707
7230065,English,qualified,74,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",1,"$25,000 to $49,999",Widowed,Metro area,South,Owned or being bought by you or someone in your household,Texas,Retired,Not working,Approve,Disapprove,Approve,Disapprove,Approve,Disapprove,Somewhat concerned,Yes,Good,Optimistic,A Republican,65+,"No, I am not willing to be interviewed",.7786
7230066,English,qualified,69,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",2,"$75,000 to $99,999",Never married,Metro area,NorthEast,Owned or being bought by you or someone in your household,New York,Retired,Not working,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Somewhat concerned,Yes,Poor,Pessimistic,An Independent,65+,"No, I am not willing to be interviewed",.8497
7230067,English,qualified,63,Master’s degree or above,Bachelors degree or higher,Female,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro area,South,Owned or being bought by you or someone in your household,Florida,Retired,Working part-time,Approve,Disapprove,Approve,Approve,Disapprove,Approve,Not concerned at all,Yes,Excellent,Optimistic,A Democrat,50-64,"No, I am not willing to be interviewed",.4005
7230068,English,qualified,81,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",2,"$50,000 to $74,999",Widowed,Non-metro area,MidWest,Owned or being bought by you or someone in your household,Nebraska,Retired,Not working,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Somewhat concerned,Yes,Poor,Pessimistic,An Independent,65+,"Yes, I am willing to be interviewed",.9865
7230069,English,qualified,82,High school graduate (high school diploma or the equivalent GED),High school,Male,"Other, Non-Hispanic",5,"$150,000 or more",Now Married,Metro area,West,Owned or being bought by you or someone in your household,Hawaii,Retired,Not working,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Somewhat concerned,Yes,Poor,Pessimistic,An Independent,65+,"No, I am not willing to be interviewed",.9196
7230070,English,qualified,69,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",4,"$50,000 to $74,999",Now Married,Non-metro area,West,Owned or being bought by you or someone in your household,Idaho,Retired,Not working,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Not so concerned,Yes,Poor,Pessimistic,An Independent,65+,"Yes, I am willing to be interviewed",.9582
7230071,English,qualified,73,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$75,000 to $99,999",Now Married,Metro area,NorthEast,Owned or being bought by you or someone in your household,Connecticut,Retired,Not working,Approve,Disapprove,Approve,Disapprove,Disapprove,Disapprove,Somewhat concerned,Yes,Good,Pessimistic,A Republican,65+,"No, I am not willing to be interviewed",.572
7230072,English,qualified,74,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",2,"$25,000 to $49,999",Now Married,Non-metro area,MidWest,Owned or being bought by you or someone in your household,Ohio,Retired,Not working,Approve,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Somewhat concerned,Yes,Not so good,Pessimistic,An Independent,65+,"No, I am not willing to be interviewed",.8515
7230073,English,qualified,56,Bachelor’s degree,Bachelors degree or higher,Male,"White, Non-Hispanic",3,"$100,000 to $149,999",Now Married,Metro area,South,Owned or being bought by you or someone in your household,Louisiana,Employed full-time (by someone else),Working full-time,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Somewhat concerned,No,Poor,Pessimistic,A Republican,50-64,"No, I am not willing to be interviewed",.5717
