index,Event Name,Swim time,Swim date,Event description,Team Code,Team Name,Athlete Full Name,Gender,Athlete birth date,Rank_Order,City,Country Code,Duration (hh:mm:ss:ff)
13,Olympic Games Tokyo 2020,47.11,07-28-21,Men 100 Freestyle LCM Male,ROC,ROC,"KOLESNIKOV, Kliment",M,07-09-00,14,Tokyo,JPN,0:0:47:11
14,13th FINA World Championships 2009,47.12,07-30-09,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,05-01-83,15,Rome,ITA,0:0:47:12
15,19th FINA World Championships Budapest 2022,47.13,06-21-22,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,09-15-04,16,Budapest,HUN,0:0:47:13
16,17th FINA World Championships 2017,47.17,07-27-17,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,08-16-96,17,Budapest,HUN,0:0:47:17
17,European Championships 2022,47.20,08-12-22,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,09-15-04,18,Rome,ITA,0:0:47:20
18,Olympic Games Beijing 2008,47.20,08-13-08,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,05-01-83,19,Beijing,CHN,0:0:47:20
19,Olympic Games Beijing 2008,47.21,08-14-08,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,05-01-83,20,Beijing,CHN,0:0:47:21
20,Olympic Games Tokyo 2020,47.23,07-28-21,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,08-16-96,21,Tokyo,JPN,0:0:47:23
21,Olympic Games Beijing 2008,47.24,08-11-08,Men 100 Freestyle LCM Male,AUS,Australia,"SULLIVAN, Eamon",M,08-30-85,22,Beijing,CHN,0:0:47:24
22,13th FINA World Championships 2009,47.25,07-30-09,Men 100 Freestyle LCM Male,FRA,France,"BOUSQUET, Frederick",M,04-08-81,23,Rome,ITA,0:0:47:25
23,Olympic Games Tokyo 2020,47.26,07-26-21,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,08-16-96,24,Tokyo,JPN,0:0:47:26
24,17th FINA World Championships 2017,47.26,07-23-17,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,08-16-96,25,Budapest,HUN,0:0:47:26
25,13th FINA World Championships 2009,47.27,07-30-09,Men 100 Freestyle LCM Male,CAN,Canada,"HAYDEN, Brent",M,10-21-83,26,Rome,ITA,0:0:47:27
26,13th FINA World Championships 2009,47.27,07-29-09,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,05-01-83,27,Rome,ITA,0:0:47:27
27,European Junior Swimming Championships 2021,47.30,07-08-21,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,09-15-04,28,Rome,ITA,0:0:47:30
28,Russian National Swimming Championships (50m),47.31,04-07-21,Men 100 Freestyle LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,07-09-00,29,Kazan,RUS,0:0:47:31
29,18th FINA World Championships 2019,47.32,07-24-19,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,08-16-96,30,Gwangju,KOR,0:0:47:32
30,Olympic Games Beijing 2008,47.32,08-14-08,Men 100 Freestyle LCM Male,AUS,Australia,"SULLIVAN, Eamon",M,08-30-85,31,Beijing,CHN,0:0:47:32
31,13th FINA World Championships 2009,47.33,07-30-09,Men 100 Freestyle LCM Male,USA,United States of America,"WALTERS, David",M,09-27-87,32,Rome,ITA,0:0:47:33
32,18th FINA World Championships 2019,47.35,07-24-19,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,08-16-96,33,Gwangju,KOR,0:0:47:35
33,Hancock Prospecting Australian Swimming Trials 2019,47.35,06-12-19,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,06-25-98,34,Brisbane,AUS,0:0:47:35
34,22nd Commonwealth Games 2022,47.36,07-31-22,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,06-25-98,35,Birmingham,GBR,0:0:47:36
35,8th FINA World Junior Swimming Championships 2022,47.37,08-30-22,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,09-15-04,36,Lima,PER,0:0:47:37
36,European Championships 2021,47.37,05-19-21,Men 100 Freestyle LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,07-09-00,37,Budapest,HUN,0:0:47:37
37,13th FINA World Championships 2009,47.37,07-30-09,Men 100 Freestyle LCM Male,SWE,Sweden,"NYSTRAND, Stefan",M,10-20-81,38,Rome,ITA,0:0:47:37
38,US Olympic Team Trials - Wave II,47.39,06-17-21,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,08-16-96,39,Omaha,USA,0:0:47:39
39,Philipps 66 USA National Championships (50m),47.39,07-31-19,Men 100 Freestyle LCM Male,USA,United States of America,"HELD, Ryan",M,06-27-95,40,Palo Alto,USA,0:0:47:39
40,13th FINA World Championships 2009,47.39,07-26-09,Men 100 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,01-10-87,41,Rome,ITA,0:0:47:39
41,Philipps 66 USA National Championships (50m),47.43,07-31-19,Men 100 Freestyle LCM Male,USA,United States of America,"HELD, Ryan",M,06-27-95,42,Palo Alto,USA,0:0:47:43
42,Russian National Championships (50m),47.43,04-09-19,Men 100 Freestyle LCM Male,RUS,Russian Federation,"GRINEV, Vladislav",M,07-21-96,43,Moscow,RUS,0:0:47:43
43,Olympic Games Tokyo 2020,47.44,07-29-21,Men 100 Freestyle LCM Male,ROC,ROC,"KOLESNIKOV, Kliment",M,07-09-00,44,Tokyo,JPN,0:0:47:44
44,European Championships 2021,47.45,05-19-21,Men 100 Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,10-02-98,45,Budapest,HUN,0:0:47:45
45,Olympic Games Tokyo 2020,47.46,07-25-21,Men 100 Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,10-02-98,46,Tokyo,JPN,0:0:47:46
46,European Championships 2022,47.47,08-13-22,Men 100 Freestyle LCM Male,HUN,Hungary,"MILAK, Kristof",M,02-20-00,47,Rome,ITA,0:0:47:47
47,Hancock Prospecting Australian National Championships (50m),47.48,04-08-19,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,06-25-98,48,Adelaide,AUS,0:0:47:48
48,13th FINA World Championships 2009,47.48,07-29-09,Men 100 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,01-10-87,49,Rome,ITA,0:0:47:48
49,14th FINA World Championships 2011,47.49,07-24-11,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,04-11-91,50,Shanghai,CHN,0:0:47:49
50,European Championships 2008,47.50,03-22-08,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,05-01-83,51,Eindhoven,NED,0:0:47:50
51,22nd Commonwealth Games 2022,47.51,08-01-22,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,06-25-98,52,Birmingham,GBR,0:0:47:51
52,Olympic Games Beijing 2008,47.51,08-11-08,Men 100 Freestyle LCM Male,USA,United States of America,"PHELPS, Michael",M,06-30-85,53,Beijing,CHN,0:0:47:51
53,Olympic Games Tokyo 2020,47.52,07-28-21,Men 100 Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,10-02-98,54,Tokyo,JPN,0:0:47:52
54,Olympic Games Tokyo 2020,47.52,07-26-21,Men 100 Freestyle LCM Male,FRA,France,"GROUSSET, Maxime",M,04-24-99,55,Tokyo,JPN,0:0:47:52
55,Olympic Games London 2012,47.52,08-01-12,Men 100 Freestyle LCM Male,USA,United States of America,"ADRIAN, Nathan",M,12-07-88,56,London,GBR,0:0:47:52
56,13th FINA World Championships 2009,47.52,07-26-09,Men 100 Freestyle LCM Male,SWE,Sweden,"NYSTRAND, Stefan",M,10-20-81,57,Rome,ITA,0:0:47:52
57,European Championships 2021,47.53,05-18-21,Men 100 Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,10-02-98,58,Budapest,HUN,0:0:47:53
58,European Championships 2021,47.53,05-18-21,Men 100 Freestyle LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,07-09-00,59,Budapest,HUN,0:0:47:53
59,2013 EnergyAustralia Swimming,47.53,04-26-13,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,04-11-91,60,Adelaide,AUS,0:0:47:53
60,Olympic Games London 2012,47.53,08-01-12,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,04-11-91,61,London,GBR,0:0:47:53
61,13th FINA World Championships 2009,47.53,07-29-09,Men 100 Freestyle LCM Male,SWE,Sweden,"NYSTRAND, Stefan",M,10-20-81,62,Rome,ITA,0:0:47:53
62,European Junior Swimming Championships 2022,47.54,07-05-22,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,09-15-04,63,Otopeni,ROU,0:0:47:54
63,19th FINA World Championships Budapest 2022,47.54,06-21-22,Men 100 Freestyle LCM Male,FRA,France,"GROUSSET, Maxime",M,04-24-99,64,Budapest,HUN,0:0:47:54
64,19th FINA World Championships Budapest 2022,47.55,06-21-22,Men 100 Freestyle LCM Male,CAN,Canada,"LIENDO EDWARDS, Joshua",M,08-20-02,65,Budapest,HUN,0:0:47:55
65,Olympic Games Tokyo 2020,47.56,07-28-21,Men 100 Freestyle LCM Male,KOR,Republic of Korea,"HWANG, Sunwoo",M,05-21-03,66,Tokyo,JPN,0:0:47:56
66,European Junior Swimming Championships 2021,47.56,07-06-21,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,09-15-04,67,Rome,ITA,0:0:47:56
67,Aquatic Super Series 2016,47.56,02-05-16,Men 100 Freestyle LCM Male,AUS,Australia,"MCEVOY, Cameron",M,05-13-94,68,Perth,AUS,0:0:47:56
68,Olympic Games Beijing 2008,47.56,08-11-08,Men 100 Freestyle LCM Male,CAN,Canada,"HAYDEN, Brent",M,10-21-83,69,Beijing,CHN,0:0:47:56
69,Russian National  Championships (50m),47.57,10-30-20,Men 100 Freestyle LCM Male,RUS,Russian Federation,"MINAKOV, Andrei",M,03-17-02,70,Kazan,RUS,0:0:47:57
70,19th FINA World Championships Budapest 2022,47.58,06-22-22,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,09-15-04,71,Budapest,HUN,0:0:47:58
71,18th FINA World Championships 2019,47.58,07-24-19,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,06-25-98,72,Gwangju,KOR,0:0:47:58
72,Olympic Games Rio 2016,47.58,08-10-16,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,06-25-98,73,Rio de Janeiro,BRA,0:0:47:58
73,Hancock Prospecting Australian Swimming Trials 2021,47.59,06-15-21,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,06-25-98,74,Adelaide,AUS,0:0:47:59
74,2014 BHP Billiton Aquatic Super Series,47.59,01-31-14,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,04-11-91,75,Perth,AUS,0:0:47:59
75,13th FINA World Championships 2009,47.59,07-29-09,Men 100 Freestyle LCM Male,USA,United States of America,"WALTERS, David",M,09-27-87,76,Rome,ITA,0:0:47:59
76,European Championships 2022,47.60,08-12-22,Men 100 Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,10-02-98,77,Rome,ITA,0:0:47:60
77,19th FINA World Championships Budapest 2022,47.60,06-21-22,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,09-15-04,78,Budapest,HUN,0:0:47:60
78,Russian National Swimming Championships (50m),47.60,04-06-21,Men 100 Freestyle LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,07-09-00,79,Kazan,RUS,0:0:47:60
79,Brazilian National Championships (50m),47.60,05-10-09,Men 100 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,01-10-87,80,Rio de Janeiro,BRA,0:0:47:60
80,European Championships 2008,47.60,03-21-08,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,05-01-83,81,Eindhoven,NED,0:0:47:60
81,Philipps 66 USA National Championships (50m),47.61,07-31-19,Men 100 Freestyle LCM Male,USA,United States of America,"ROONEY, Maxime",M,04-16-98,82,Palo Alto,USA,0:0:47:61
82,27th Summer Universiade 2013,47.62,07-14-13,Men 100 Freestyle LCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,06-16-92,83,Kazan,RUS,0:0:47:62
83,European Championships 2022,47.63,08-13-22,Men 100 Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,10-02-98,84,Rome,ITA,0:0:47:63
84,19th FINA World Championships Budapest 2022,47.63,06-21-22,Men 100 Freestyle LCM Male,GBR,Great Britain,"BURRAS, Lewis Edward",M,02-12-00,85,Budapest,HUN,0:0:47:63
85,18th FINA World Championships 2019,47.63,07-21-19,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,08-16-96,86,Gwangju,KOR,0:0:47:63
86,Olympic Games London 2012,47.63,07-31-12,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,04-11-91,87,London,GBR,0:0:47:63
87,2012 EnergyAustralia Swimming,47.63,03-15-12,Men 100 Freestyle LCM Male,AUS,Australia,"ROBERTS, James",M,04-11-91,88,Adelaide,AUS,0:0:47:63
88,14th FINA World Championships 2011,47.63,07-28-11,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,04-11-91,89,Shanghai,CHN,0:0:47:63
89,19th FINA World Championships Budapest 2022,47.64,06-22-22,Men 100 Freestyle LCM Male,FRA,France,"GROUSSET, Maxime",M,04-24-99,90,Budapest,HUN,0:0:47:64
90,19th FINA World Championships Budapest 2022,47.65,06-21-22,Men 100 Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,08-04-04,91,Budapest,HUN,0:0:47:65
91,Russian National Championships (50m),47.65,04-10-19,Men 100 Freestyle LCM Male,RUS,Russian Federation,"GRINEV, Vladislav",M,07-21-96,92,Moscow,RUS,0:0:47:65
92,17th FINA World Championships 2017,47.65,07-26-17,Men 100 Freestyle LCM Male,FRA,France,"METELLA, Mehdy",M,07-17-92,93,Budapest,HUN,0:0:47:65
93,China Autumn Nationals,47.65,10-14-14,Men 100 Freestyle LCM Male,CHN,People's Republic of China,"NING, Zetao",M,03-06-93,94,Huangshan,CHN,0:0:47:65
94,Australian National Championships (50m),47.65,04-01-14,Men 100 Freestyle LCM Male,AUS,Australia,"MCEVOY, Cameron",M,05-13-94,95,Brisbane,AUS,0:0:47:65
95,17th FINA World Championships 2017,47.66,07-26-17,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,08-16-96,96,Budapest,HUN,0:0:47:66
96,13th FINA World Championships 2009,47.66,07-29-09,Men 100 Freestyle LCM Male,SWE,Sweden,"NYSTRAND, Stefan",M,10-20-81,97,Rome,ITA,0:0:47:66
97,19th FINA World Championships Budapest 2022,47.67,06-18-22,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,08-16-96,98,Budapest,HUN,0:0:47:67
98,7th EDF Open Swimming,47.67,07-06-13,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,04-11-91,99,Vichy,FRA,0:0:47:67
99,Olympic Games Beijing 2008,47.67,08-14-08,Men 100 Freestyle LCM Male,USA,United States of America,"LEZAK, Jason",M,11-12-75,100,Beijing,CHN,0:0:47:67
100,Olympic Games Beijing 2008,47.67,08-14-08,Men 100 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,01-10-87,101,Beijing,CHN,0:0:47:67
101,Maria Lenk / Brazil Trophy,47.68,04-18-19,Men 100 Freestyle LCM Male,BRA,Brazil,"CHIERIGHINI, Marcelo",M,01-15-91,102,Rio de Janeiro,BRA,0:0:47:68
102,Olympic Games Beijing 2008,47.68,08-13-08,Men 100 Freestyle LCM Male,NED,Netherlands,"VAN DEN HOOGENBAND, Pieter",M,03-14-78,103,Beijing,CHN,0:0:47:68
103,European Championships 2022,47.69,08-14-22,Men 100 Freestyle LCM Male,FRA,France,"GROUSSET, Maxime",M,04-24-99,104,Rome,ITA,0:0:47:69
104,European Junior Swimming Championships 2022,47.69,07-10-22,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,09-15-04,105,Otopeni,ROU,0:0:47:69
105,19th FINA World Championships Budapest 2022,47.69,06-21-22,Men 100 Freestyle LCM Male,HUN,Hungary,"NEMETH, Nandor",M,11-19-99,106,Budapest,HUN,0:0:47:69
106,USA Winter National Championships (50m),47.69,12-07-19,Men 100 Freestyle LCM Male,USA,United States of America,"APPLE, Zach",M,04-23-97,107,Atlanta,USA,0:0:47:69
107,Russian National Swimming Championships (50m),47.70,04-06-21,Men 100 Freestyle LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,07-09-00,108,Kazan,RUS,0:0:47:70
108,17th Asian Games 2014,47.70,09-25-14,Men 100 Freestyle LCM Male,CHN,People's Republic of China,"NING, Zetao",M,03-06-93,109,Incheon,KOR,0:0:47:70
109,19th FINA World Championships Budapest 2022,47.71,06-22-22,Men 100 Freestyle LCM Male,CAN,Canada,"LIENDO EDWARDS, Joshua",M,08-20-02,110,Budapest,HUN,0:0:47:71
110,Olympic Games Tokyo 2020,47.71,07-27-21,Men 100 Freestyle LCM Male,ITA,Italy,"CECCON, Thomas",M,01-27-01,111,Tokyo,JPN,0:0:47:71
111,Olympic Games Tokyo 2020,47.71,07-26-21,Men 100 Freestyle LCM Male,ROC,ROC,"MINAKOV, Andrei",M,03-17-02,112,Tokyo,JPN,0:0:47:71
112,15th FINA World Championships 2013,47.71,08-01-13,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,04-11-91,113,Barcelona,ESP,0:0:47:71
113,15th FINA World Championships 2013,47.71,07-31-13,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,04-11-91,114,Barcelona,ESP,0:0:47:71
114,Olympic Games Tokyo 2020,47.72,07-29-21,Men 100 Freestyle LCM Male,FRA,France,"GROUSSET, Maxime",M,04-24-99,115,Tokyo,JPN,0:0:47:72
115,Olympic Games Tokyo 2020,47.72,07-28-21,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,09-15-04,116,Tokyo,JPN,0:0:47:72
116,Olympic Games Tokyo 2020,47.72,07-26-21,Men 100 Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,10-02-98,117,Tokyo,JPN,0:0:47:72
117,US Olympic Team Trials - Wave II,47.72,06-17-21,Men 100 Freestyle LCM Male,USA,United States of America,"APPLE, Zach",M,04-23-97,118,Omaha,USA,0:0:47:72
118,US Olympic Team Trials - Swimming,47.72,06-30-16,Men 100 Freestyle LCM Male,USA,United States of America,"ADRIAN, Nathan",M,12-07-88,119,Omaha,USA,0:0:47:72
119,Olympic Games Tokyo 2020,47.73,07-27-21,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,08-16-96,120,Tokyo,JPN,0:0:47:73
120,2014 Victorian Open Championships,47.73,01-17-14,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,04-11-91,121,Melbourne,AUS,0:0:47:73
121,13th FINA World Championships 2009,47.73,07-26-09,Men 100 Freestyle LCM Male,FRA,France,"GILOT, Fabien",M,04-27-84,122,Rome,ITA,0:0:47:73
122,European Championships 2021,47.74,05-19-21,Men 100 Freestyle LCM Male,RUS,Russian Federation,"MINAKOV, Andrei",M,03-17-02,123,Budapest,HUN,0:0:47:74
123,European Championships 2021,47.74,05-17-21,Men 100 Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,10-02-98,124,Budapest,HUN,0:0:47:74
124,Russian National Championships (50m),47.74,04-09-19,Men 100 Freestyle LCM Male,RUS,Russian Federation,"GRINEV, Vladislav",M,07-21-96,125,Moscow,RUS,0:0:47:74
125,Philipps 66 USA National Championships (50m),47.75,07-31-19,Men 100 Freestyle LCM Male,USA,United States of America,"ROONEY, Maxime",M,04-16-98,126,Palo Alto,USA,0:0:47:75
126,Russian National Championships 2018,47.75,04-22-18,Men 100 Freestyle LCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,06-16-92,127,Moscow,RUS,0:0:47:75
127,2014 NSW State Open Championships,47.75,02-28-14,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,04-11-91,128,Sydney,AUS,0:0:47:75
128,Olympic Games Beijing 2008,47.75,08-14-08,Men 100 Freestyle LCM Male,NED,Netherlands,"VAN DEN HOOGENBAND, Pieter",M,03-14-78,129,Beijing,CHN,0:0:47:75
129,European Championships 2022,47.76,08-14-22,Men 100 Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,10-02-98,130,Rome,ITA,0:0:47:76
130,European Championships 2022,47.76,08-12-22,Men 100 Freestyle LCM Male,HUN,Hungary,"MILAK, Kristof",M,02-20-00,131,Rome,ITA,0:0:47:76
131,European Junior Swimming Championships 2022,47.76,07-05-22,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,09-15-04,132,Otopeni,ROU,0:0:47:76
132,18th FINA World Championships 2019,47.76,07-24-19,Men 100 Freestyle LCM Male,BRA,Brazil,"CHIERIGHINI, Marcelo",M,01-15-91,133,Gwangju,KOR,0:0:47:76
133,Olympic Games Beijing 2008,47.76,08-10-08,Men 100 Freestyle LCM Male,FRA,France,"LEVEAUX, Amaury",M,12-02-85,134,Beijing,CHN,0:0:47:76
134,Olympic Games Tokyo 2020,47.77,07-27-21,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,06-25-98,135,Tokyo,JPN,0:0:47:77
135,US Olympic Team Trials - Wave II,47.77,06-16-21,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,08-16-96,136,Omaha,USA,0:0:47:77
136,Russian National Swimming Championships (50m),47.77,04-07-21,Men 100 Freestyle LCM Male,RUS,Russian Federation,"MINAKOV, Andrei",M,03-17-02,137,Kazan,RUS,0:0:47:77
137,13th FINA World Championships 2009,47.77,07-26-09,Men 100 Freestyle LCM Male,CAN,Canada,"HAYDEN, Brent",M,10-21-83,138,Rome,ITA,0:0:47:77
138,European Championships 2022,47.78,08-13-22,Men 100 Freestyle LCM Male,FRA,France,"GROUSSET, Maxime",M,04-24-99,139,Rome,ITA,0:0:47:78
139,Russian National Championships (50m),47.78,04-29-22,Men 100 Freestyle LCM Male,RUS,Russian Federation,"GRINEV, Vladislav",M,07-21-96,140,Kazan,RUS,0:0:47:78
140,US Olympic Team Trials - Wave II,47.78,06-16-21,Men 100 Freestyle LCM Male,USA,United States of America,"APPLE, Zach",M,04-23-97,141,Omaha,USA,0:0:47:78
141,FINA Swimming World Cup 2019,47.78,11-02-19,Men 100 Freestyle LCM Male,RUS,Russian Federation,"GRINEV, Vladislav",M,07-21-96,142,Kazan,RUS,0:0:47:78
142,13th FINA World Championships 2009,47.78,07-29-09,Men 100 Freestyle LCM Male,BRA,Brazil,"OLIVEIRA, Nicolas",M,08-04-87,143,Rome,ITA,0:0:47:78
143,13th FINA World Championships 2009,47.78,07-26-09,Men 100 Freestyle LCM Male,USA,United States of America,"PHELPS, Michael",M,06-30-85,144,Rome,ITA,0:0:47:78
144,19th FINA World Championships Budapest 2022,47.79,06-22-22,Men 100 Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,08-04-04,145,Budapest,HUN,0:0:47:79
145,Phillips 66 International Team Trials 2022,47.79,04-26-22,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,08-16-96,146,Greensboro,USA,0:0:47:79
146,30th Summer Universiade 2019,47.79,07-04-19,Men 100 Freestyle LCM Male,USA,United States of America,"APPLE, Zach",M,04-23-97,147,Napoli,ITA,0:0:47:79
147,13th FINA World Championships 2009,47.79,07-29-09,Men 100 Freestyle LCM Male,RSA,South Africa,"FERNS, Lyndon",M,09-24-83,148,Rome,ITA,0:0:47:79
148,Olympic Games Tokyo 2020,47.80,07-28-21,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,06-25-98,149,Tokyo,JPN,0:0:47:80
149,Olympic Games Rio 2016,47.80,08-10-16,Men 100 Freestyle LCM Male,BEL,Belgium,"TIMMERS, Pieter",M,01-21-88,150,Rio de Janeiro,BRA,0:0:47:80
150,Olympic Games London 2012,47.80,08-01-12,Men 100 Freestyle LCM Male,CAN,Canada,"HAYDEN, Brent",M,10-21-83,151,London,GBR,0:0:47:80
151,13th FINA World Championships 2009,47.80,07-29-09,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,05-01-83,152,Rome,ITA,0:0:47:80
152,Olympic Games Beijing 2008,47.80,08-12-08,Men 100 Freestyle LCM Male,AUS,Australia,"SULLIVAN, Eamon",M,08-30-85,153,Beijing,CHN,0:0:47:80
