state,county,total_employees
CO,DENVER,503
CO,DOLORES,1
CO,DOUGLAS,112
CO,EAGLE,10
CO,EL PASO,129
CO,ELBERT,10
CO,FREMONT,28
CO,GARFIELD,13
CO,GILPIN,5
CO,GRAND,10
CO,GUNNISON,1
CO,HUERFANO,10
CO,JEFFERSON,267
CO,KIOWA,3
CO,KIT CARSON,2
CO,LA PLATA,1
CO,LAKE,2
CO,LARIMER,159
CO,LAS ANIMAS,77
CO,LINCOLN,5
CO,LOGAN,137
CO,MESA,252
CO,MOFFAT,6
CO,MONTEZUMA,2
CO,MONTROSE,10
CO,MORGAN,34
CO,OTERO,141
CO,PARK,12
CO,PHILLIPS,4
CO,PITKIN,1
CO,PROWERS,26
CO,PUEBLO,526
CO,RIO GRANDE,10
CO,ROUTT,30
CO,SAGUACHE,2
CO,SEDGWICK,16
CO,SUMMIT,6
CO,TELLER,6
CO,WASHINGTON,3
CO,WELD,223
CO,YUMA,3
CT,FAIRFIELD,486
CT,HARTFORD,113
CT,LITCHFIELD,57
CT,MIDDLESEX,137
CT,NEW HAVEN,1561
CT,NEW LONDON,146
CT,TOLLAND,26
CT,WINDHAM,66
DC,WASHINGTON DC,279
DE,KENT,158
DE,NEW CASTLE,1275
DE,SUSSEX,62
FL,ALACHUA,22
FL,BAKER,81
FL,BAY,45
FL,BRADFORD,20
FL,BREVARD,33
FL,BROWARD,294
FL,CALHOUN,1
FL,CHARLOTTE,10
FL,CITRUS,23
FL,CLAY,636
FL,COLLIER,14
FL,COLUMBIA,35
FL,DESOTO,9
FL,DIXIE,2
FL,DUVAL,3073
FL,ESCAMBIA,124
FL,FLAGLER,29
FL,FRANKLIN,2
FL,GADSDEN,5
FL,GILCHRIST,1
FL,GLADES,5
FL,GULF,6
FL,HAMILTON,11
FL,HARDEE,2
FL,HENDRY,1
FL,HERNANDO,30
FL,HIGHLANDS,15
FL,HILLSBOROUGH,387
FL,HOLMES,6
FL,INDIAN RIVER,12
FL,JACKSON,12
FL,JEFFERSON,3
FL,LAFAYETTE,5
FL,LAKE,77
FL,LEE,43
FL,LEON,21
FL,LEVY,6
FL,LIBERTY,1
FL,MADISON,1
FL,MANATEE,23
FL,MARION,48
FL,MARTIN,9
FL,MIAMI-DADE,346
FL,MONROE,7
FL,NASSAU,242
FL,OKALOOSA,6
FL,OKEECHOBEE,12
FL,ORANGE,101
FL,OSCEOLA,30
FL,PALM BEACH,155
FL,PASCO,71
FL,PINELLAS,73
FL,POLK,238
FL,PUTNAM,34
FL,SANTA ROSA,48
FL,SARASOTA,18
FL,SEMINOLE,92
FL,ST JOHNS,449
FL,ST LUCIE,56
FL,SUMTER,36
FL,SUWANNEE,11
FL,TAYLOR,5
FL,UNION,11
FL,VOLUSIA,175
FL,WAKULLA,4
FL,WALTON,3
FL,WASHINGTON,13
GA,APPLING,24
GA,ATKINSON,22
GA,BACON,56
GA,BALDWIN,11
GA,BANKS,1
GA,BARROW,32
GA,BARTOW,114
GA,BEN HILL,120
GA,BERRIEN,12
GA,BIBB,304
GA,BLECKLEY,17
GA,BRANTLEY,112
GA,BROOKS,4
GA,BRYAN,95
GA,BULLOCH,42
GA,BURKE,17
GA,BUTTS,23
GA,CALHOUN,3
GA,CAMDEN,41
GA,CANDLER,4
GA,CARROLL,130
GA,CATOOSA,120
GA,CHARLTON,35
GA,CHATHAM,281
GA,CHATTAHOOCHEE,4
GA,CHATTOOGA,4
GA,CHEROKEE,129
GA,CLARKE,9
GA,CLAY,2
GA,CLAYTON,194
GA,CLINCH,16
GA,COBB,661
GA,COFFEE,85
GA,COLQUITT,5
GA,COLUMBIA,89
GA,COOK,4
GA,COWETA,116
GA,CRAWFORD,6
GA,CRISP,12
GA,DADE,31
GA,DAWSON,3
GA,DECATUR,11
GA,DEKALB,315
GA,DODGE,9
GA,DOOLY,6
GA,DOUGHERTY,43
GA,DOUGLAS,282
GA,EARLY,6
GA,EFFINGHAM,130
GA,ELBERT,1
GA,EMANUEL,33
GA,EVANS,5
GA,FANNIN,9
GA,FAYETTE,177
GA,FLOYD,31
GA,FORSYTH,40
GA,FRANKLIN,6
GA,FULTON,878
GA,GILMER,6
GA,GLASCOCK,1
GA,GLYNN,40
GA,GORDON,33
GA,GRADY,9
GA,GREENE,5
GA,GWINNETT,372
GA,HABERSHAM,12
GA,HALL,55
GA,HANCOCK,4
GA,HARALSON,21
GA,HARRIS,37
GA,HART,10
GA,HEARD,4
GA,HENRY,269
GA,HOUSTON,89
GA,IRWIN,24
GA,JACKSON,38
GA,JASPER,13
GA,JEFF DAVIS,12
GA,JEFFERSON,11
GA,JENKINS,17
GA,JOHNSON,4
GA,JONES,42
GA,LAMAR,19
GA,LANIER,10
GA,LAURENS,11
GA,LEE,22
GA,LIBERTY,28
GA,LINCOLN,15
GA,LONG,4
GA,LOWNDES,87
GA,LUMPKIN,2
GA,MACON,4
GA,MADISON,6
GA,MARION,7
GA,MCDUFFIE,32
GA,MCINTOSH,7
GA,MERIWETHER,78
GA,MILLER,2
GA,MITCHELL,6
GA,MONROE,63
GA,MONTGOMERY,4
GA,MORGAN,2
GA,MURRAY,6
GA,MUSCOGEE,84
GA,NEWTON,9
GA,OCONEE,7
GA,OGLETHORPE,3
GA,PAULDING,200
GA,PEACH,47
GA,PICKENS,16
GA,PIERCE,271
GA,PIKE,17
GA,POLK,65
GA,PULASKI,3
GA,PUTNAM,10
GA,RABUN,4
GA,RANDOLPH,12
GA,RICHMOND,206
GA,ROCKDALE,60
GA,SCHLEY,7
GA,SCREVEN,7
GA,SEMINOLE,2
GA,SPALDING,33
GA,STEPHENS,8
GA,STEWART,3
GA,SUMTER,9
GA,TALBOT,13
GA,TATTNALL,4
GA,TAYLOR,11
GA,TELFAIR,5
GA,TERRELL,9
GA,THOMAS,30
GA,TIFT,13
GA,TOOMBS,28
GA,TREUTLEN,1
GA,TROUP,53
GA,TURNER,7
GA,TWIGGS,12
GA,UPSON,18
GA,WALKER,54
GA,WALTON,117
GA,WARE,413
GA,WARREN,8
GA,WASHINGTON,34
GA,WAYNE,94
GA,WEBSTER,3
GA,WHITE,3
GA,WHITFIELD,22
GA,WILCOX,15
GA,WILKES,7
GA,WILKINSON,22
GA,WORTH,11
HI,HAWAII,1
HI,HONOLULU,2
HI,KAUAI,1
IA,ADAIR,5
IA,ADAMS,7
IA,ALLAMAKEE,18
IA,APPANOOSE,13
IA,AUDUBON,1
IA,BENTON,39
IA,BLACK HAWK,116
IA,BOONE,206
IA,BREMER,17
IA,BUCHANAN,35
IA,BUENA VISTA,2
IA,BUTLER,23
IA,CALHOUN,16
IA,CARROLL,38
IA,CASS,13
IA,CEDAR,19
IA,CERRO GORDO,157
IA,CHEROKEE,2
IA,CHICKASAW,7
IA,CLARKE,16
IA,CLAY,2
IA,CLAYTON,24
IA,CLINTON,140
IA,CRAWFORD,8
IA,DALLAS,46
IA,DAVIS,11
IA,DECATUR,9
IA,DELAWARE,18
IA,DES MOINES,179
IA,DICKINSON,2
IA,DUBUQUE,71
IA,EMMET,6
IA,FAYETTE,23
IA,FLOYD,34
IA,FRANKLIN,11
IA,FREMONT,15
IA,GREENE,19
IA,GRUNDY,9
IA,GUTHRIE,10
IA,HAMILTON,31
IA,HANCOCK,10
IA,HARDIN,20
IA,HARRISON,102
IA,HENRY,26
IA,HOWARD,1
IA,HUMBOLDT,17
IA,IDA,1
IA,IOWA,13
IA,JACKSON,26
IA,JASPER,24
IA,JEFFERSON,10
IA,JOHNSON,37
IA,JONES,14
IA,KEOKUK,3
IA,KOSSUTH,5
IA,LEE,204
IA,LINN,146
IA,LOUISA,7
IA,LUCAS,5
IA,LYON,2
IA,MADISON,12
IA,MAHASKA,3
IA,MARION,14
IA,MARSHALL,90
IA,MILLS,96
IA,MITCHELL,15
IA,MONONA,12
IA,MONROE,14
IA,MONTGOMERY,19
IA,MUSCATINE,29
IA,O'BRIEN,1
IA,OSCEOLA,1
IA,PAGE,13
IA,PALO ALTO,2
IA,PLYMOUTH,14
IA,POCAHONTAS,5
IA,POLK,235
IA,POTTAWATTAMIE,609
IA,POWESHIEK,7
IA,RINGGOLD,13
IA,SAC,10
IA,SCOTT,137
IA,SHELBY,12
IA,SIOUX,1
IA,STORY,94
IA,TAMA,20
IA,TAYLOR,3
IA,UNION,70
IA,VAN BUREN,8
IA,WAPELLO,42
IA,WARREN,37
IA,WASHINGTON,10
IA,WAYNE,5
IA,WEBSTER,65
IA,WINNEBAGO,6
IA,WINNESHIEK,1
IA,WOODBURY,155
IA,WORTH,12
IA,WRIGHT,36
ID,ADA,81
ID,ADAMS,2
ID,BANNOCK,538
ID,BEAR LAKE,71
ID,BENEWAH,10
ID,BINGHAM,47
ID,BOISE,3
ID,BONNER,40
ID,BONNEVILLE,44
ID,BOUNDARY,44
ID,CANYON,168
ID,CARIBOU,12
ID,CASSIA,16
ID,CLEARWATER,1
ID,CUSTER,1
ID,ELMORE,9
ID,FRANKLIN,20
ID,FREMONT,1
ID,GEM,26
ID,GOODING,4
ID,IDAHO,4
ID,JEFFERSON,6
ID,JEROME,11
ID,KOOTENAI,205
ID,LATAH,11
ID,LEWIS,2
ID,LINCOLN,6
ID,MINIDOKA,32
ID,NEZ PERCE,13
ID,ONEIDA,8
ID,OWYHEE,7
ID,PAYETTE,23
ID,POWER,12
ID,TWIN FALLS,63
ID,VALLEY,1
ID,WASHINGTON,21
IL,ADAMS,116
IL,ALEXANDER,2
IL,BOND,23
IL,BOONE,44
IL,BROWN,7
IL,BUREAU,35
IL,CALHOUN,4
IL,CARROLL,96
IL,CASS,66
IL,CHAMPAIGN,131
IL,CHRISTIAN,104
IL,CLARK,24
IL,CLAY,14
IL,CLINTON,38
IL,COLES,42
IL,COOK,8207
IL,CRAWFORD,12
IL,CUMBERLAND,9
IL,DE WITT,46
IL,DEKALB,119
IL,DOUGLAS,60
IL,DUPAGE,837
IL,DUPAGEE,45
IL,EDGAR,12
IL,EDWARDS,4
IL,EFFINGHAM,33
IL,FAYETTE,32
IL,FORD,23
IL,FRANKLIN,39
IL,FULTON,56
IL,GALLATIN,7
IL,GREENE,13
IL,GRUNDY,83
IL,HAMILTON,19
IL,HANCOCK,127
IL,HARDIN,1
IL,HENDERSON,100
IL,HENRY,74
IL,IROQUOIS,87
IL,JACKSON,37
IL,JASPER,4
IL,JEFFERSON,72
IL,JERSEY,14
IL,JO DAVIESS,14
IL,JOHNSON,26
IL,KANE,577
IL,KANKAKEE,289
IL,KENDALL,122
IL,KNOX,885
IL,LA SALLE,132
IL,LAKE,340
IL,LAWRENCE,6
IL,LEE,40
IL,LIVINGSTON,12
IL,LOGAN,16
IL,MACON,425
IL,MACOUPIN,79
IL,MADISON,427
IL,MARION,261
IL,MARSHALL,10
IL,MASON,23
IL,MASSAC,9
IL,MCDONOUGH,53
IL,MCHENRY,273
IL,MCLEAN,45
IL,MENARD,10
IL,MERCER,18
IL,MONROE,122
IL,MONTGOMERY,38
IL,MORGAN,43
IL,MOULTRIE,49
IL,OGLE,75
IL,PEORIA,130
IL,PERRY,20
IL,PIATT,54
IL,PIKE,50
IL,POPE,1
IL,PULASKI,7
IL,PUTNAM,5
IL,RANDOLPH,68
IL,RICHLAND,9
IL,ROCK ISLAND,94
IL,SALINE,11
IL,SANGAMON,114
IL,SCHUYLER,32
IL,SCOTT,15
IL,SHELBY,45
IL,ST CLAIR,495
IL,STARK,5
IL,STEPHENSON,33
IL,TAZEWELL,71
IL,UNION,41
IL,VERMILION,178
IL,WABASH,14
IL,WARREN,188
IL,WASHINGTON,29
IL,WAYNE,18
IL,WHITE,16
IL,WHITESIDE,124
IL,WILL,1784
IL,WILLIAMSON,53
IL,WINNEBAGO,76
IL,WOODFORD,14
IN,ADAMS,11
IN,ALLEN,536
IN,BARTHOLOMEW,12
IN,BENTON,6
IN,BLACKFORD,24
IN,BOONE,22
IN,BROWN,7
IN,CARROLL,26
IN,CASS,35
IN,CLARK,131
IN,CLAY,28
IN,CLINTON,28
IN,CRAWFORD,21
IN,DAVIESS,35
IN,DEARBORN,50
IN,DECATUR,7
IN,DEKALB,118
IN,DELAWARE,125
IN,DUBOIS,35
IN,ELKHART,306
IN,FAYETTE,19
IN,FLOYD,85
IN,FOUNTAIN,21
IN,FRANKLIN,10
IN,FULTON,8
IN,GIBSON,153
IN,GRANT,39
IN,GREENE,72
IN,HAMILTON,63
IN,HANCOCK,60
IN,HARRISON,147
IN,HENDRICKS,229
IN,HENRY,35
IN,HOWARD,34
IN,HUNTINGTON,66
IN,JACKSON,11
IN,JASPER,80
IN,JAY,18
IN,JEFFERSON,10
IN,JENNINGS,13
IN,JOHNSON,165
IN,KNOX,16
IN,KOSCIUSKO,30
IN,LAGRANGE,16
IN,LAKE,1999
IN,LAPORTE,360
IN,LAPORTEE,24
IN,LAWRENCE,16
IN,MADISON,70
IN,MARION,703
IN,MARSHALL,40
IN,MARTIN,3
IN,MIAMI,146
IN,MONROE,27
IN,MONTGOMERY,30
IN,MORGAN,105
IN,NEWTON,18
IN,NOBLE,59
IN,OHIO,5
IN,ORANGE,7
IN,OWEN,19
IN,PARKE,10
IN,PERRY,7
IN,PIKE,27
IN,PORTER,550
IN,POSEY,41
IN,PULASKI,11
IN,PUTNAM,41
IN,RANDOLPH,23
IN,RIPLEY,8
IN,RUSH,7
IN,SCOTT,10
IN,SHELBY,43
IN,SPENCER,23
IN,ST JOSEPH,258
IN,STARKE,58
IN,STEUBEN,45
IN,SULLIVAN,34
IN,TIPPECANOE,118
IN,TIPTON,14
IN,UNION,7
IN,VANDERBURGH,221
IN,VERMILLION,23
IN,VIGO,103
IN,WABASH,30
IN,WARREN,8
IN,WARRICK,82
IN,WASHINGTON,29
IN,WAYNE,12
IN,WELLS,39
IN,WHITE,23
IN,WHITLEY,38
KS,ALLEN,16
KS,ANDERSON,12
KS,ATCHISON,42
KS,BARBER,11
KS,BARTON,22
KS,BOURBON,47
KS,BROWN,14
KS,BUTLER,76
KS,CHASE,11
KS,CHAUTAUQUA,1
KS,CHEROKEE,38
KS,CLAY,5
KS,CLOUD,14
KS,COFFEY,10
KS,COMANCHE,1
KS,COWLEY,94
KS,CRAWFORD,205
KS,DECATUR,3
KS,DICKINSON,138
KS,DONIPHAN,24
KS,DOUGLAS,126
KS,EDWARDS,4
KS,ELK,7
KS,ELLIS,12
KS,ELLSWORTH,3
KS,FINNEY,9
KS,FORD,22
KS,FRANKLIN,72
KS,GEARY,24
KS,GRAY,1
KS,GREELEY,3
KS,GREENWOOD,3
KS,HAMILTON,1
KS,HARPER,14
KS,HARVEY,153
KS,HASKELL,19
KS,HODGEMAN,4
KS,JACKSON,56
KS,JEFFERSON,122
KS,JEWELL,1
KS,JOHNSON,1286
KS,KINGMAN,12
KS,KIOWA,1
KS,LABETTE,88
KS,LEAVENWORTH,232
KS,LINCOLN,2
KS,LINN,31
KS,LOGAN,6
KS,LYON,91
KS,MARION,46
KS,MARSHALL,233
KS,MCPHERSON,34
KS,MEADE,5
KS,MIAMI,113
KS,MITCHELL,2
KS,MONTGOMERY,111
KS,MORRIS,54
KS,NEMAHA,22
KS,NEOSHO,16
KS,NORTON,2
KS,OSAGE,73
KS,OSBORNE,1
KS,OTTAWA,12
KS,PAWNEE,1
KS,PHILLIPS,25
KS,POTTAWATOMIE,17
KS,PRATT,34
KS,RAWLINS,2
KS,RENO,67
KS,REPUBLIC,2
KS,RICE,7
KS,RILEY,30
KS,ROOKS,9
KS,RUSH,10
KS,RUSSELL,1
KS,SALINE,107
KS,SCOTT,3
KS,SEDGWICK,325
KS,SEWARD,12
KS,SHAWNEE,856
KS,SHERMAN,9
KS,SMITH,2
KS,STAFFORD,3
KS,STANTON,1
KS,STEVENS,3
KS,SUMNER,168
KS,THOMAS,3
KS,TREGO,2
KS,WABAUNSEE,21
KS,WALLACE,9
KS,WASHINGTON,22
KS,WICHITA,2
KS,WILSON,4
KS,WOODSON,7
KS,WYANDOTTE,415
KY,ADAIR,1
KY,ALLEN,5
KY,ANDERSON,5
KY,BALLARD,7
KY,BARREN,5
KY,BATH,3
KY,BELL,27
KY,BOONE,236
KY,BOURBON,8
KY,BOYD,232
KY,BOYLE,62
KY,BRACKEN,11
KY,BREATHITT,36
KY,BRECKINRIDGE,14
KY,BULLITT,125
KY,BUTLER,1
KY,CALDWELL,29
KY,CALLOWAY,4
KY,CAMPBELL,79
KY,CARLISLE,7
KY,CARROLL,19
KY,CARTER,54
KY,CASEY,18
KY,CHRISTIAN,15
KY,CLARK,6
KY,CLAY,7
KY,CRITTENDEN,1
KY,CUMBERLAND,1
KY,DAVIESS,31
KY,EDMONSON,5
KY,ELLIOTT,1
KY,ESTILL,42
KY,FAYETTE,58
KY,FLEMING,9
KY,FLOYD,84
KY,FRANKLIN,5
KY,FULTON,4
KY,GALLATIN,8
KY,GARRARD,8
KY,GRANT,91
KY,GRAVES,24
KY,GRAYSON,11
KY,GREEN,4
KY,GREENUP,483
KY,HANCOCK,3
KY,HARDIN,67
KY,HARLAN,44
KY,HARRISON,15
KY,HART,6
KY,HENDERSON,48
KY,HENRY,24
KY,HICKMAN,3
KY,HOPKINS,133
KY,JACKSON,4
KY,JEFFERSON,413
KY,JESSAMINE,13
KY,JOHNSON,50
KY,KENTON,244
KY,KNOTT,16
KY,KNOX,38
KY,LARUE,7
KY,LAUREL,113
KY,LAWRENCE,97
KY,LEE,8
KY,LESLIE,3
KY,LETCHER,22
KY,LEWIS,55
KY,LINCOLN,113
KY,LIVINGSTON,11
KY,LOGAN,16
KY,LYON,6
KY,MADISON,47
KY,MAGOFFIN,1
KY,MARION,7
KY,MARSHALL,22
KY,MARTIN,16
KY,MASON,8
KY,MCCRACKEN,84
KY,MCCREARY,7
KY,MCLEAN,5
KY,MEADE,28
KY,MENIFEE,1
KY,MERCER,55
KY,METCALFE,1
KY,MONROE,4
KY,MONTGOMERY,5
KY,MORGAN,1
KY,MUHLENBERG,22
KY,NELSON,59
KY,NICHOLAS,11
KY,OHIO,16
KY,OLDHAM,35
KY,OWEN,3
KY,OWSLEY,2
KY,PENDLETON,31
KY,PERRY,39
KY,PIKE,231
KY,POWELL,6
KY,PULASKI,104
KY,ROBERTSON,2
KY,ROCKCASTLE,32
KY,ROWAN,4
KY,RUSSELL,5
KY,SCOTT,15
KY,SHELBY,33
KY,SIMPSON,1
KY,SPENCER,22
KY,TAYLOR,2
KY,TODD,15
KY,TRIGG,3
KY,TRIMBLE,4
KY,UNION,7
KY,WARREN,12
KY,WASHINGTON,3
KY,WAYNE,2
KY,WEBSTER,10
KY,WHITLEY,322
KY,WOLFE,3
KY,WOODFORD,5
LA,ACADIA,13
LA,ALLEN,19
LA,ASCENSION,103
LA,ASSUMPTION,5
LA,AVOYELLES,37
LA,BEAUREGARD,43
LA,BIENVILLE,21
LA,BOSSIER,285
LA,CADDO,546
LA,CALCASIEU,280
LA,CALDWELL,7
LA,CAMERON,1
LA,CATAHOULA,1
LA,CLAIBORNE,31
LA,CONCORDIA,3
LA,DE SOTO,40
LA,EAST BATON ROUGE,285
LA,EAST CARROLL,1
LA,EAST FELICIANA,11
LA,EVANGELINE,11
LA,FRANKLIN,4
LA,GRANT,25
LA,IBERIA,25
LA,IBERVILLE,86
LA,JACKSON,20
LA,JEFFERSON,368
LA,JEFFERSON DAVIS,6
LA,LA SALLE,5
LA,LAFAYETTE,124
LA,LAFOURCHE,10
LA,LINCOLN,16
LA,LIVINGSTON,78
LA,MADISON,10
LA,MOREHOUSE,19
LA,NATCHITOCHES,22
LA,ORLEANS,240
LA,OUACHITA,128
LA,PLAQUEMINES,17
LA,POINTE COUPEE,67
LA,RAPIDES,158
LA,RED RIVER,6
LA,RICHLAND,2
LA,SABINE,8
LA,ST BERNARD,35
LA,ST CHARLES,46
LA,ST JAMES,11
LA,ST JOHN THE BAPTIST,38
LA,ST LANDRY,91
LA,ST MARTIN,31
LA,ST MARY,2
LA,ST TAMMANY,128
LA,TANGIPAHOA,105
LA,TENSAS,1
LA,TERREBONNE,14
LA,UNION,8
LA,VERMILION,5
LA,VERNON,42
LA,WASHINGTON,20
LA,WEBSTER,68
LA,WEST BATON ROUGE,73
LA,WEST CARROLL,3
LA,WEST FELICIANA,5
LA,WINN,2
MA,BARNSTABLE,44
MA,BERKSHIRE,50
MA,BRISTOL,232
MA,ESSEX,314
MA,FRANKLIN,113
MA,HAMPDEN,202
MA,HAMPSHIRE,68
MA,MIDDLESEX,673
MA,NORFOLK,386
MA,PLYMOUTH,429
MA,SUFFOLK,558
MA,WORCESTER,310
MD,ALLEGANY,509
MD,ANNE ARUNDEL,406
MD,BALTIMORE,415
MD,CALVERT,103
MD,CAROLINE,8
MD,CARROLL,118
MD,CECIL,393
MD,CHARLES,112
MD,DORCHESTER,8
MD,FREDERICK,157
MD,GARRETT,53
MD,HARFORD,248
MD,HOWARD,79
MD,INDEPENDENT CITY,722
MD,KENT,3
MD,MONTGOMERY,302
MD,PRINCE GEORGES,809
MD,QUEEN ANNES,22
MD,SOMERSET,1
MD,ST MARYS,94
MD,TALBOT,2
MD,WASHINGTON,127
MD,WICOMICO,12
MD,WORCESTER,6
ME,ANDROSCOGGIN,22
ME,AROOSTOOK,57
ME,CUMBERLAND,71
ME,FRANKLIN,2
ME,HANCOCK,3
ME,KENNEBEC,109
ME,KNOX,5
ME,LINCOLN,7
ME,OXFORD,36
ME,PENOBSCOT,117
ME,PISCATAQUIS,75
ME,SAGADAHOC,8
ME,SOMERSET,67
ME,WALDO,11
ME,WASHINGTON,17
ME,YORK,47
MI,ALCONA,1
MI,ALGER,8
MI,ALLEGAN,27
MI,ALPENA,3
MI,ARENAC,19
MI,BARAGA,4
MI,BARRY,16
MI,BAY,58
MI,BENZIE,2
MI,BERRIEN,136
MI,BRANCH,13
MI,CALHOUN,164
MI,CASS,89
MI,CHEBOYGAN,2
MI,CHIPPEWA,8
MI,CLARE,5
MI,CLINTON,10
MI,CRAWFORD,1
MI,DELTA,188
MI,DICKINSON,7
MI,EATON,42
MI,EMMET,1
MI,GENESEE,195
MI,GLADWIN,4
MI,GOGEBIC,3
MI,GRAND TRAVERSE,4
MI,GRATIOT,5
MI,HILLSDALE,17
MI,HOUGHTON,6
MI,HURON,9
MI,INGHAM,46
MI,IONIA,32
