location_key,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds_per_1000,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd
CH_AR,83.6,,,,,,,,,,,,
CH_BE,83.3,,,,,,,,,,,,
CH_BL,83.9,,,,,,,,,,,,
CH_BS,83.9,,,,,,,,,,,,
CH_FR,83.3,,,,,,,,,,,,
CH_GE,84.2,,,,,,,,,,,,
CH_GL,83.6,,,,,,,,,,,,
CH_GR,83.6,,,,,,,,,,,,
CH_JU,83.3,,,,,,,,,,,,
CH_LU,84.0,,,,,,,,,,,,
CH_NE,83.3,,,,,,,,,,,,
CH_NW,84.0,,,,,,,,,,,,
CH_OW,84.0,,,,,,,,,,,,
CH_SG,83.6,,,,,,,,,,,,
CH_SH,83.6,,,,,,,,,,,,
CH_SO,83.3,,,,,,,,,,,,
CH_SZ,84.0,,,,,,,,,,,,
CH_TG,83.6,,,,,,,,,,,,
CH_TI,85.2,,,,,,,,,,,,
CH_UR,84.0,,,,,,,,,,,,
CH_VD,84.2,,,,,,,,,,,,
CH_VS,84.2,,,,,,,,,,,,
CH_ZG,84.0,,,,,,,,,,,,
CH_ZH,84.0,,,,,,,,,,,,
CI,57.422,,2.4,59.4,360.552,325.098,269.1,29.1,,0.6048,,69.749245,27.453821
CL,80.042,37.8,8.6,6.2,107.669,59.035,25.3,12.4,,13.3248,2.5912,1381.986206,463.437714
CM,58.921,,6.0,50.6,317.692,281.332,208.1,21.6,,,,67.811813,48.117634
CN,76.704,25.6,9.2,7.4,93.777,60.272,112.7,17.0,,2.6621,1.9798,440.825623,158.919449
CO,77.109,9.0,7.4,12.2,151.616,77.999,37.0,15.8,,1.3309,2.1848,459.197571,74.887901
CR,80.095,11.9,9.1,7.6,113.079,56.969,23.3,11.5,1.2,3.4144,2.8939,869.077759,184.725845
CU,78.726,35.2,9.6,3.7,113.198,73.993,49.5,16.4,,7.5614,8.4218,987.627014,103.529617
CV,72.782,9.1,2.4,16.7,182.203,85.514,99.5,17.2,,1.2983,0.7814,167.589615,48.427498
CW,78.017073,,11.6,,130.145,63.365,,,,,,,
CY,82.9,36.4,9.0,1.9,64.711,32.883,20.1,11.3,,5.2512,1.9509,1731.694458,772.890503
CZ,79.1,34.3,7.0,2.7,108.785,51.325,29.6,15.0,6.5,8.3955,4.1208,1475.915161,218.569794
CZ_10,80.8,,,,,,,,,,,,
CZ_20,79.0,,,,,,,,,,,,
CZ_31,79.2,,,,,,,,,,,,
CZ_32,79.2,,,,,,,,,,,,
CZ_41,77.2,,,,,,,,,,,,
CZ_42,77.2,,,,,,,,,,,,
CZ_51,79.4,,,,,,,,,,,,
CZ_52,79.4,,,,,,,,,,,,
CZ_53,79.4,,,,,,,,,,,,
CZ_63,79.7,,,,,,,,,,,,
CZ_64,79.7,,,,,,,,,,,,
CZ_71,79.1,,,,,,,,,,,,
CZ_72,79.1,,,,,,,,,,,,
CZ_80,78.0,,,,,,,,,,,,
DE,81.0,30.6,10.4,3.1,86.511,48.026,16.0,12.1,,13.2352,4.2488,5033.452148,637.885254
DE_BB,80.7,,,,,,,,,,,,
DE_BE,80.8,,,,,,,,,,,,
DE_BW,82.2,,,,,,,,,,,,
DE_BY,81.8,,,,,,,,,,,,
DE_HB,79.7,,,,,,,,,,,,
DE_HE,81.4,,,,,,,,,,,,
DE_HH,81.1,,,,,,,,,,,,
DE_MV,79.9,,,,,,,,,,,,
DE_NI,80.5,,,,,,,,,,,,
DE_NW,80.5,,,,,,,,,,,,
DE_RP,80.9,,,,,,,,,,,,
DE_SH,80.4,,,,,,,,,,,,
DE_SL,79.7,,,,,,,,,,,,
DE_SN,80.9,,,,,,,,,,,,
DE_ST,79.4,,,,,,,,,,,,
DE_TH,80.3,,,,,,,,,,,,
DJ,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,,,,70.330894,18.640654
DK,81.0,19.1,8.3,3.6,82.426,51.652,13.2,11.3,2.5,10.3195,4.0099,5800.151367,796.851868
DM,76.59756,,11.6,32.9,,,,,,6.4385,1.1189,439.594452,136.076263
DO,73.892,13.7,8.6,24.1,197.349,114.55,43.0,19.0,,1.3802,1.56,433.208588,193.809692
DZ,76.693,15.6,6.7,20.1,102.851,80.672,49.7,14.2,1.9,1.5477,1.7193,258.494293,84.136894
EC,76.8,7.1,5.5,12.2,161.14,88.072,24.5,13.0,,2.5059,2.0368,518.029602,204.095932
EE,78.5,31.3,4.2,2.1,154.542,56.077,25.0,17.0,5.0,11.1558,4.4833,1300.481689,307.754089
EG,71.825,25.2,17.2,18.1,182.7,105.456,108.9,27.7,,1.9262,0.4521,105.768456,63.548351
ER,65.941,5.7,5.1,31.3,276.241,202.445,173.7,23.9,,1.4397,0.0628,32.911999,19.458075
ES,83.5,29.3,6.9,2.5,74.537,37.537,9.9,9.9,,5.7295,3.8723,2506.464844,590.668274
ES_AN,82.1,,,,,,,,,,,,
ES_AS,82.9,,,,,,,,,,,,
ES_CB,83.6,,,,,,,,,,,,
ES_CE,81.5,,,,,,,,,,,,
ES_CL,84.3,,,,,,,,,,,,
ES_CM,83.8,,,,,,,,,,,,
ES_CN,82.6,,,,,,,,,,,,
ES_CT,83.7,,,,,,,,,,,,
ES_EX,82.8,,,,,,,,,,,,
ES_GA,83.5,,,,,,,,,,,,
ES_IB,83.6,,,,,,,,,,,,
ES_MC,83.0,,,,,,,,,,,,
ES_MD,85.5,,,,,,,,,,,,
ES_ML,80.7,,,,,,,,,,,,
ES_NC,84.4,,,,,,,,,,,,
ES_PV,84.1,,,,,,,,,,,,
ES_RI,83.9,,,,,,,,,,,,
ES_VC,82.9,,,,,,,,,,,,
ET,66.24,4.4,4.3,39.1,236.779,184.812,144.4,18.3,0.3,0.7135,0.0769,25.261953,8.692383
FI,81.8,20.4,5.6,1.4,89.21,44.026,7.2,10.2,4.4,14.7374,3.8118,4205.742676,850.713318
FJ,67.341,22.6,14.7,21.6,256.995,174.97,99.0,30.6,,3.3752,0.86,188.414322,29.381798
FM,67.755,,11.9,25.6,177.715,146.294,151.8,26.1,,2.0426,,424.809784,10.210433
FO,82.54878,,4.7,,,,,,,,,,
FR,82.9,32.7,4.8,3.4,95.352,48.187,9.7,10.6,,11.4707,3.2672,4379.727051,411.003204
FR_ARA,83.8,,,,,,,,,,,,
FR_BFC,82.4,,,,,,,,,,,,
FR_BRE,82.2,,,,,,,,,,,,
FR_COR,84.3,,,,,,,,,,,,
FR_CVL,82.8,,,,,,,,,,,,
FR_GES,82.1,,,,,,,,,,,,
FR_HDF,80.8,,,,,,,,,,,,
FR_IDF,84.5,,,,,,,,,,,,
FR_LRE,81.3,,,,,,,,,,,,
FR_MAY,76.2,,,,,,,,,,,,
FR_MF,79.870732,,,,,,,,,,,,
FR_NAQ,83.0,,,,,,,,,,,,
FR_NOR,82.1,,,,,,,,,,,,
FR_OCC,83.2,,,,,,,,,,,,
FR_PAC,83.3,,,,,,,,,,,,
FR_PDL,83.3,,,,,,,,,,,,
GA,66.187,,6.0,32.7,238.333,182.317,76.0,14.4,,2.946,0.6819,204.492249,51.442871
GB,81.3,22.3,3.9,3.6,86.107,55.36,13.8,10.9,,8.1723,2.8117,3858.674316,615.721802
GB_ENG_E08000003,80.0,,,,,,,,,,,,
GB_ENG_E10000006,81.6,,,,,,,,,,,,
GB_ENG_E10000016,81.6,,,,,,,,,,,,
GB_ENG_E10000017,79.9,,,,,,,,,,,,
GB_ENG_E10000019,81.0,,,,,,,,,,,,
GB_ENG_LON,82.9,,,,,,,,,,,,
GB_NIR,80.9,,,,,,,,,,,,
GB_SCT,79.3,,,,,,,,,,,,
GB_UKC,79.8,,,,,,,,,,,,
GB_UKD,80.3,,,,,,,,,,,,
GB_UKE,80.6,,,,,,,,,,,,
GB_UKF,81.2,,,,,,,,,,,,
GB_UKG,80.8,,,,,,,,,,,,
GB_UKH,82.2,,,,,,,,,,,,
GB_UKI,82.9,,,,,,,,,,,,
GB_UKJ,82.6,,,,,,,,,,,,
GB_UKK,82.2,,,,,,,,,,,,
GB_WLS,80.4,,,,,,,,,,,,
GD,72.384,,10.7,13.7,179.054,117.738,45.3,21.4,,6.2837,1.4067,497.236053,260.620514
GE,73.6,28.8,5.8,8.7,221.61,77.23,101.8,24.9,,4.7293,7.1201,293.053589,160.481735
GH,63.78,3.9,2.5,34.9,254.991,214.333,203.8,20.8,,4.2001,0.1359,66.749413,26.894472
GL,70.84878,,2.1,,,,,,,,,,
GM,61.735,15.5,1.9,39.0,279.951,224.406,237.0,20.4,,1.5447,0.1021,23.272326,5.127221
GN,61.185,,2.4,64.9,260.356,232.889,243.3,22.4,,0.1238,0.0832,33.720112,19.113756
GQ,58.402,,6.0,62.6,334.453,294.556,177.7,22.0,,0.5024,0.4017,301.150055,231.259186
GR,81.9,43.4,4.7,3.6,93.96,42.478,27.6,12.4,4.3,3.6331,5.4789,1516.587769,527.017395
GT,74.063,,10.0,22.1,201.48,111.16,73.8,14.9,,0.0737,0.3549,259.935028,140.713516
GU,79.859,,18.7,,79.819,39.075,,,,,,,
GW,58.003,,2.4,54.0,373.99,301.21,214.7,20.0,,0.6851,0.1274,52.359409,37.730824
GY,69.774,,11.6,25.1,268.873,182.082,107.8,30.5,,1.0398,0.8023,230.527283,74.853691
HK,84.934146,,4.5,,61.901,33.104,,,,,,,
HN,75.088,2.0,7.3,15.1,166.999,115.541,60.7,14.0,,0.7357,0.3089,195.935745,95.423988
HR,78.2,37.0,5.4,4.0,117.544,49.809,35.5,16.7,5.6,8.1224,2.9996,902.139648,98.994057
HT,63.66,12.7,6.7,49.5,257.443,197.41,184.3,26.5,,0.6798,0.2343,62.353279,25.083418
HU,76.2,30.6,6.9,3.6,168.058,80.586,38.8,23.0,,6.9157,3.4075,981.423035,263.947113
ID,71.509,39.4,6.3,21.1,177.539,125.668,112.4,26.4,1.2,2.4149,0.4269,114.971786,39.786812
IE,82.3,24.3,3.2,3.1,71.299,41.591,11.9,10.3,,16.0996,3.3125,4976.862305,611.214233
IL,82.802439,25.2,9.7,3.0,70.873,39.638,15.4,9.6,,5.7002,4.6249,3144.626221,699.707214
IM,77.96585,,,,,,,,,,,,
IN,69.416,11.5,10.4,29.9,203.623,147.161,184.3,23.3,,1.7271,0.8571,69.293098,43.239937
IQ,70.454,,8.8,22.5,185.811,129.1,75.1,21.3,,2.0448,0.7079,210.313705,122.072998
IR,76.479,11.0,9.6,12.4,83.386,49.574,50.9,14.8,,2.6286,1.5844,475.47995,198.544067
IS,82.9,14.7,5.8,1.5,65.669,38.181,8.7,9.1,,16.2132,4.0778,6086.311523,1003.047241
IT,83.4,23.7,5.0,2.6,,,15.0,9.5,,5.7401,3.9774,2840.130615,667.027588
IT_21,83.0,,,,,,,,,,,,
IT_23,82.3,,,,,,,,,,,,
IT_25,84.0,,,,,,,,,,,,
IT_34,84.0,,,,,,,,,,,,
IT_36,83.5,,,,,,,,,,,,
IT_42,83.1,,,,,,,,,,,,
IT_45,83.9,,,,,,,,,,,,
IT_52,84.0,,,,,,,,,,,,
IT_55,84.3,,,,,,,,,,,,
IT_57,84.4,,,,,,,,,,,,
IT_62,83.6,,,,,,,,,,,,
IT_65,83.6,,,,,,,,,,,,
IT_67,83.3,,,,,,,,,,,,
IT_72,81.9,,,,,,,,,,,,
IT_75,83.6,,,,,,,,,,,,
IT_77,83.1,,,,,,,,,,,,
IT_78,83.0,,,,,,,,,,,,
IT_82,82.3,,,,,,,,,,,,
IT_88,83.8,,,,,,,,,,,,
IT_BZ,84.4,,,,,,,,,,,,
IT_TN,84.6,,,,,,,,,,,,
JM,74.368,16.8,11.3,12.4,175.464,104.39,25.4,14.7,,0.8068,1.3061,307.196045,52.928936
JO,74.405,,12.7,13.9,123.898,89.001,51.2,19.2,1.4,2.8212,2.3237,340.661804,103.654625
JP,84.210976,22.1,5.6,1.8,66.483,35.709,11.9,8.4,,12.1531,2.4115,4168.986328,535.619568
KE,66.342,10.7,3.1,30.6,264.72,194.507,78.1,13.4,,1.1656,0.1565,76.610321,18.419661
KG,71.4,26.5,6.1,16.9,210.663,94.014,110.7,24.9,,,,78.822838,44.43766
KH,69.57,17.2,6.4,24.0,199.971,132.376,149.8,21.1,0.8,0.6855,,82.075867,49.603271
KI,68.116,47.0,22.5,41.2,235.02,153.038,140.2,28.4,1.9,3.8342,,171.41748,0.192364
KM,64.118,14.0,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342
KN,71.33659,,13.3,9.8,,,,,,4.2188,2.6758,902.658997,431.199463
KP,72.095,,6.4,13.7,161.971,95.764,207.2,25.6,,4.4489,3.6834,,
KR,82.626829,23.3,6.9,2.7,79.266,32.342,20.5,7.8,11.5,7.3009,2.3608,2283.074707,768.689453
KW,75.398,22.5,12.2,6.7,69.179,41.12,103.8,17.4,,7.4145,2.6463,1529.077637,192.897873
KY,82.19024,,6.8,,,,,,,,,,
KZ,73.15,24.0,6.1,8.8,220.812,94.435,62.7,26.8,,7.2936,,279.645325,92.700966
LA,67.61,28.9,6.4,37.6,205.59,156.747,188.5,27.0,,0.9522,0.3726,62.124634,28.691248
LB,78.875,33.8,11.2,6.4,76.205,53.338,51.4,17.9,,1.6735,2.1038,719.443481,238.990112
LC,76.057,,11.6,14.9,174.722,97.187,30.0,18.8,,3.1547,0.6409,460.068817,205.89505
LI,83.1,,9.4,,,,,,,,,,
LK,76.812,13.0,10.7,6.4,151.16,56.065,79.8,17.4,,2.1803,1.0041,159.484741,79.356094
LR,63.73,9.8,2.4,53.5,247.482,207.08,170.2,17.6,,0.5321,0.0376,56.59903,25.756157
LS,53.705,26.7,4.5,65.7,545.675,419.363,177.6,26.6,,3.2567,,104.552795,17.400345
LT,76.0,28.8,3.8,3.3,212.885,78.821,34.0,20.7,,9.8472,6.3528,1078.179199,347.969543
LU,82.3,23.5,5.0,1.9,66.343,41.193,11.6,10.0,4.8,12.1744,3.009,5782.628418,618.136414
LV,75.1,37.0,5.0,3.3,228.584,85.367,41.3,21.9,,4.7517,3.1905,930.352356,390.632446
LY,72.724,,10.2,10.2,179.566,99.334,71.9,20.1,,6.5305,2.0905,,
MA,76.453,23.4,7.0,19.2,72.327,62.159,49.1,12.4,,1.3887,0.7308,161.010864,86.843163
MC,,,2.9,2.6,,,,,,,,2932.421875,201.980484
MD,71.808,24.2,5.7,13.6,237.424,95.579,78.3,24.9,,4.9235,3.2066,191.185776,83.424835
ME,76.9,45.9,9.0,2.3,125.094,65.97,78.6,20.6,,5.2294,2.7557,,
MG,66.681,,4.5,38.2,232.545,181.739,159.6,22.9,,0.146,,24.670837,6.090098
MH,65.23902,,30.5,27.4,,,,,,3.339,,642.199158,79.719673
MK,76.7,,9.3,8.7,119.81,63.418,82.2,20.3,,3.7917,2.8736,328.4198,104.784355
ML,58.893,12.3,2.4,62.0,263.613,244.756,209.1,24.6,,0.3585,0.1286,31.378105,11.017797
MM,66.867,20.3,3.9,36.8,247.696,149.971,156.4,24.2,,0.9993,0.677,58.043957,44.247471
MN,69.689,25.6,4.7,14.0,288.357,123.173,155.9,30.2,,3.8938,2.8592,148.784454,47.837875
MO,84.118,,4.3,,58.271,24.487,,,,,,,
MR,64.704,,7.1,51.5,218.359,176.149,169.5,18.1,,0.9252,0.1865,48.817131,24.186684
MT,82.5,25.5,8.3,6.1,63.699,35.056,20.2,10.8,,9.4833,2.8598,2585.563965,898.581482
MU,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,,3.5152,2.5331,599.699768,293.04718
MV,78.627,28.3,9.2,7.4,67.456,42.149,25.6,13.4,,6.4282,4.5627,1006.938782,207.902649
MW,63.798,14.5,4.5,35.3,325.106,212.388,115.0,16.4,,0.4386,0.0358,32.259384,3.416394
MX,74.992,14.0,13.5,11.0,184.379,95.815,36.7,15.7,1.5,2.3961,2.3827,494.677643,204.219147
MY,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231
MY_12,76.5,,,,,,,,,,,,
MZ,60.163,16.6,3.3,54.0,389.521,268.188,110.0,18.4,,0.6847,0.0838,21.071156,1.558282
NA,63.373,21.4,4.5,29.0,349.317,248.938,145.0,21.3,,1.954,0.4182,447.28064,34.593563
NC,77.14878,,21.8,,98.003,56.743,,,,,,,
NE,62.024,7.7,2.4,48.0,251.729,222.743,251.8,20.0,0.3,0.2695,0.0433,29.26165,13.995413
NG,54.332,5.8,3.1,75.7,364.321,324.961,307.4,22.5,,1.1792,0.3806,73.92498,57.088425
NI,74.275,,11.4,15.7,200.678,102.575,55.7,14.2,,1.5334,0.9775,192.083389,62.617363
NL,81.9,25.8,5.4,3.3,65.56,51.048,13.7,11.2,,11.1839,3.6054,4911.44043,544.528137
NL_DR,81.6,,,,,,,,,,,,
NL_FL,81.9,,,,,,,,,,,,
NL_FR,81.7,,,,,,,,,,,,
NL_GE,81.8,,,,,,,,,,,,
NL_GR,81.0,,,,,,,,,,,,
NL_LI,81.8,,,,,,,,,,,,
NL_NB,81.9,,,,,,,,,,,,
NL_NH,82.1,,,,,,,,,,,,
NL_OV,81.7,,,,,,,,,,,,
NL_UT,82.4,,,,,,,,,,,,
NL_ZE,82.1,,,,,,,,,,,,
NL_ZH,81.9,,,,,,,,,,,,
NO,82.8,20.2,5.3,2.1,62.494,38.861,8.6,9.2,,18.2248,2.9164,7936.375,1125.162598
NO_03,83.4,,,,,,,,,,,,
NO_11,82.4,,,,,,,,,,,,
NO_34,81.7,,,,,,,,,,,,
NO_42,82.4,,,,,,,,,,,,
NO_46,83.4,,,,,,,,,,,,
NO_50,83.0,,,,,,,,,,,,
NO_54,82.2,,,,,,,,,,,,
NP,70.478,22.8,7.2,26.7,167.316,129.611,193.8,21.8,,3.1084,0.7486,47.915363,27.694386
NR,,40.0,12.0,26.4,,,,,,7.6636,1.3462,1106.750977,10.232119
NZ,81.858537,16.0,6.2,4.7,,,7.2,10.1,,12.4482,3.5898,3937.221924,534.55957
OM,77.633,11.1,10.1,9.8,101.388,63.183,53.9,17.8,,4.1965,2.0031,587.646301,39.328762
PA,78.329,6.1,7.7,13.1,148.159,76.653,25.8,13.0,,3.0741,1.5687,1112.303223,370.064026
PE,76.516,4.8,6.6,11.1,146.37,84.815,63.9,12.6,,2.4398,1.3048,332.570923,93.745949
PF,77.462,,19.5,,112.857,66.154,,,,,,,
PG,64.263,36.3,17.9,38.0,251.144,187.7,152.0,30.0,,0.4548,0.0699,61.45784,5.530311
PH,71.095,24.3,7.1,22.5,235.071,130.91,185.2,26.8,,4.9351,0.6004,132.900986,70.49836
PK,67.114,20.1,19.9,57.2,172.896,137.509,173.6,24.7,,0.6683,0.9801,44.592964,26.861408
PL,77.7,28.0,6.1,3.8,160.653,61.842,37.9,18.7,,6.8926,2.3788,906.820129,209.020157
PL_02,77.2,,,,,,,,,,,,
PL_04,77.2,,,,,,,,,,,,
PL_06,77.8,,,,,,,,,,,,
PL_08,76.9,,,,,,,,,,,,
PL_10,76.3,,,,,,,,,,,,
PL_12,79.1,,,,,,,,,,,,
PL_16,78.0,,,,,,,,,,,,
PL_18,79.4,,,,,,,,,,,,
PL_20,78.2,,,,,,,,,,,,
PL_22,78.2,,,,,,,,,,,,
PL_24,77.2,,,,,,,,,,,,
PL_26,77.7,,,,,,,,,,,,
PL_28,76.9,,,,,,,,,,,,
PL_30,77.6,,,,,,,,,,,,
PL_32,77.3,,,,,,,,,,,,
PR,79.778195,,13.7,,146.208,63.033,,,,,,,
PS,73.895,,9.5,17.3,126.513,92.308,,,,,,,
PT,81.5,22.7,9.8,3.1,103.994,42.442,9.8,11.1,,6.9746,5.124,1908.033936,525.321472
PT_11,82.0,,,,,,,,,,,,
PT_15,80.3,,,,,,,,,,,,
PT_16,81.8,,,,,,,,,,,,
PT_17,81.7,,,,,,,,,,,,
PT_18,80.8,,,,,,,,,,,,
PT_20,78.1,,,,,,,,,,,,
PT_30,78.7,,,,,,,,,,,,
PW,69.12927,15.6,17.9,16.6,,,,,,7.2626,,1596.362915,246.750183
PY,74.131,13.4,9.6,17.2,163.978,120.525,57.5,17.5,,1.6604,1.3544,381.113068,168.361481
QA,80.1,20.6,15.6,5.8,41.498,31.873,47.4,15.3,,7.2628,2.4852,1649.186157,146.821411
RO,75.3,29.7,6.9,6.1,171.82,73.319,59.3,21.4,,7.3891,2.9807,555.104736,113.73011
RS,75.9,38.9,9.0,4.8,141.791,74.794,62.5,19.1,,6.0855,3.1131,528.545166,220.680069
RU,72.657317,39.3,6.1,6.1,,,49.4,25.4,,8.5429,4.0139,585.87323,237.238129
RW,68.7,12.3,5.1,27.0,216.342,161.59,121.4,18.2,,1.2044,0.134,49.204456,3.074294
SA,74.998,15.6,15.8,6.0,91.872,76.148,83.7,16.4,,5.4763,2.6117,1093.405518,184.345856
SB,72.835,,19.0,17.1,162.895,124.818,137.0,23.8,,2.1642,0.1937,101.239868,5.466105
SC,72.841463,21.5,12.3,12.4,201.609,97.723,49.3,21.2,,8.0773,2.1212,791.656677,194.742996
SD,65.095,,22.1,42.1,244.878,187.141,184.9,26.0,,0.6952,0.2618,193.793045,140.460556
SE,82.6,18.8,4.8,2.2,62.062,38.431,7.2,9.1,,11.8164,3.984,5904.583984,887.612732
SE_110,83.0,,,,,,,,,,,,
SE_121,82.5,,,,,,,,,,,,
SE_122,82.5,,,,,,,,,,,,
SE_123,82.5,,,,,,,,,,,,
SE_124,82.5,,,,,,,,,,,,
SE_125,82.5,,,,,,,,,,,,
SE_211,82.8,,,,,,,,,,,,
SE_212,82.8,,,,,,,,,,,,
SE_213,82.8,,,,,,,,,,,,
SE_214,82.8,,,,,,,,,,,,
SE_221,82.5,,,,,,,,,,,,
SE_224,82.5,,,,,,,,,,,,
SE_231,82.7,,,,,,,,,,,,
SE_232,82.7,,,,,,,,,,,,
SE_311,82.2,,,,,,,,,,,,
SE_312,82.2,,,,,,,,,,,,
SE_313,82.2,,,,,,,,,,,,
SE_321,82.0,,,,,,,,,,,,
SE_331,81.7,,,,,,,,,,,,
SE_332,81.7,,,,,,,,,,,,
SG,83.146341,16.5,5.5,2.3,59.839,34.939,25.9,9.3,2.4,6.2432,2.2936,2618.712402,841.2677
SI,81.5,22.5,5.9,1.7,90.934,45.488,22.6,12.7,,9.9745,3.0861,1920.28186,236.735565
